,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,27001,Aitkin,85.0,33.0,76.0,14.234821762,6.6227693482,1218:1,8597.0,30.0,5.6129572745,16.425548045,6.1,77.349242833
1,27003,Anoka,36.0,22.0,44.0,11.88727407,4.5945471817,1952:1,7191.0,48.0,2.7631672652,6.8018885913,7.9,81.402045624
2,27005,Becker,61.0,74.0,50.0,12.588044639,6.8556336718,1218:1,6913.0,48.0,3.5554838363,17.596339961,6.8,79.363184193
3,27007,Beltrami,83.0,86.0,68.0,15.219191285,9.0029821875,1257:1,5772.0,45.0,4.1016273663,11.609657515,6.6,77.963457812
4,27009,Benton,58.0,72.0,59.0,12.717822895,4.5750674962,4992:1,6977.0,44.0,3.4939536601,11.768535443,6.8,79.123551702
5,27011,Big Stone,57.0,53.0,41.0,12.780162402,5.9633027523,718:1,7839.0,43.0,3.8140643623,27.855153203,5.9,81.862611459
6,27013,Blue Earth,63.0,79.0,18.0,13.670510369,4.5355071671,1000:1,7615.0,58.0,2.5101174368,13.13962343,8.0,80.427691222
7,27015,Brown,22.0,11.0,2.0,11.330785956,4.3178973717,840:1,4638.0,48.0,3.3574131407,19.052155275,7.5,80.773588369
8,27017,Carlton,52.0,83.0,52.0,12.048064683,5.2847266766,1543:1,7024.0,52.0,4.1291418862,13.803594569,6.6,78.451576532
9,27019,Carver,1.0,2.0,29.0,9.2750491725,3.1729616142,1201:1,7697.0,53.0,2.4576988887,10.380046808,7.5,83.255562331
10,27021,Cass,86.0,76.0,79.0,15.306334798,8.2940142474,2446:1,6775.0,36.0,5.1001186074,20.439448135,6.6,77.197215349
11,27023,Chippewa,28.0,62.0,28.0,13.217914998,6.226596769,1198:1,3663.0,49.0,3.1944242776,30.050083472,6.5,79.638482354
12,27025,Chisago,23.0,30.0,43.0,10.904841122,4.1705604938,2305:1,6564.0,47.0,3.3612028858,9.9443118536,7.4,80.531067047
13,27027,Clay,46.0,43.0,32.0,11.946171046,4.8244443597,4541:1,7273.0,52.0,2.8638484535,11.011656625,7.0,80.219870551
14,27029,Clearwater,77.0,84.0,72.0,15.244597504,8.5636154289,2220:1,3826.0,23.0,8.1340782123,20.274836675,6.1,77.972269137
15,27031,Cook,76.0,21.0,35.0,12.995072191,8.3526682135,540:1,2649.0,34.0,3.466490591,18.52537977,5.6,82.245050136
