,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,28001,Adams,60.0,57.0,14.0,27.277446718,14.979845776,1069:1,6949.0,45.0,6.2131762185,14.192174951,9.0,73.335841075
1,28003,Alcorn,42.0,28.0,32.0,22.494803544,14.397590361,2862:1,7291.0,42.0,4.1369472183,11.018543402,10.0,73.48553847
2,28005,Amite,25.0,36.0,72.0,24.682269669,18.367346939,4149:1,5385.0,24.0,6.0402684564,14.46131598,9.0,76.851184729
3,28007,Attala,40.0,30.0,17.0,24.11024276,14.450944792,2053:1,5626.0,47.0,5.6734517107,12.989121611,9.9,73.815498579
4,28009,Benton,52.0,19.0,36.0,21.613185772,15.594951923,,5764.0,41.0,5.5555555556,8.4215591915,9.7,72.953059035
5,28011,Bolivar,63.0,69.0,59.0,27.931093414,15.629723924,1997:1,8374.0,41.0,6.1257216164,15.025825638,10.3,72.098821502
6,28013,Calhoun,34.0,40.0,62.0,25.264503456,18.768202844,7246:1,4297.0,41.0,4.3005354752,15.180789401,9.9,76.066762119
7,28015,Carroll,14.0,8.0,34.0,19.075340386,16.084754797,5070:1,5650.0,40.0,5.455051489,6.9040339284,9.6,78.181864788
8,28017,Chickasaw,50.0,60.0,42.0,25.494221186,17.281793696,1905:1,5655.0,40.0,4.9602046617,9.9148489444,10.1,74.658908017
9,28019,Choctaw,43.0,29.0,20.0,23.058222305,13.564865286,2759:1,5175.0,34.0,4.7995780591,12.080212612,9.8,74.212827323
10,28021,Claiborne,79.0,78.0,73.0,37.274637929,14.474929044,2238:1,11397.0,32.0,9.1802168022,4.469273743,9.2,72.070824332
11,28023,Clarke,49.0,6.0,55.0,21.505493468,14.692319924,3166:1,7843.0,29.0,5.6247894914,17.058377559,9.9,73.14512788
12,28025,Clay,23.0,56.0,11.0,26.779985589,14.781172585,1964:1,3759.0,33.0,6.0056222847,14.765784114,10.4,76.200003372
13,28027,Coahoma,80.0,79.0,21.0,34.90213956,13.569617579,1781:1,6499.0,35.0,6.8202764977,7.774034724,10.2,71.15023596
14,28029,Copiah,46.0,53.0,29.0,26.795375739,15.631542219,2852:1,6050.0,48.0,5.4572926851,11.221770234,9.7,74.869312883
15,28031,Covington,56.0,55.0,27.0,24.100441948,15.971168437,2385:1,7009.0,47.0,4.3677606178,11.531002673,9.9,72.268575412
16,28033,DeSoto,5.0,3.0,7.0,17.53926756,10.445244846,2930:1,4576.0,53.0,3.7608357413,8.2796739599,10.3,76.890804268
17,28035,Forrest,36.0,14.0,13.0,23.25296388,15.396199814,1572:1,6054.0,49.0,4.4249622368,13.912628692,10.2,73.581702162
18,28037,Franklin,29.0,5.0,31.0,22.368358999,14.439102564,2588:1,4944.0,27.0,6.0375994215,18.02962009,8.9,74.966184203
19,28039,George,11.0,31.0,61.0,18.89322794,14.688928642,3012:1,6933.0,23.0,6.3540260909,9.1309039595,9.7,72.958833478
20,28041,Greene,7.0,9.0,65.0,17.230543671,15.377826806,,7320.0,29.0,6.1552809513,8.2427875609,9.4,73.954856745
21,28043,Grenada,69.0,46.0,16.0,24.808311344,14.663855704,2109:1,3860.0,39.0,4.2748409968,14.22677479,9.5,70.664071034
22,28045,Hancock,6.0,15.0,38.0,20.187514255,15.554091448,2941:1,5995.0,39.0,4.97372472,6.3757890039,9.4,76.878464311
23,28047,Harrison,12.0,48.0,28.0,20.98271876,15.79714232,1847:1,6441.0,35.0,4.5241917786,9.3646202695,9.8,75.188805919
24,28049,Hinds,37.0,35.0,8.0,21.014561181,14.196975062,1267:1,5894.0,41.0,4.6086701923,14.27992835,10.7,75.21256267
25,28051,Holmes,77.0,82.0,22.0,37.551650455,14.430560514,1971:1,4789.0,28.0,8.8947368421,10.147133435,9.9,72.051301241
26,28053,Humphreys,66.0,73.0,56.0,36.166916186,15.419937787,2781:1,5107.0,16.0,8.3694709454,10.788779669,9.9,74.115569058
27,28055,Issaquena,73.0,64.0,74.0,35.332852064,18.028846154,1339:0,3223.0,25.0,8.9947089947,0.0,9.5,
28,28057,Itawamba,13.0,17.0,33.0,21.007350868,15.261799806,5877:1,5832.0,51.0,4.067171423,11.485451761,10.2,74.919437095
29,28059,Jackson,9.0,13.0,19.0,21.530508112,13.84379683,1974:1,6010.0,38.0,5.527458493,9.6375710507,10.1,76.322790978
30,28061,Jasper,41.0,50.0,41.0,26.553256708,15.279257343,5527:1,5542.0,41.0,5.8467081559,10.252080569,10.0,75.29158584
31,28063,Jefferson,81.0,81.0,68.0,37.470369089,14.911347518,1816:1,9523.0,28.0,13.263263263,4.1310933627,8.9,71.924086007
32,28065,Jefferson Davis,76.0,68.0,48.0,31.56624023,17.105567106,5657:1,6852.0,45.0,6.6861171894,13.257910553,9.7,72.009370331
33,28067,Jones,35.0,34.0,44.0,23.848195705,17.039561954,1998:1,7000.0,48.0,4.7710147191,14.868246725,10.1,74.542123882
34,28069,Kemper,68.0,66.0,80.0,31.437623953,20.138388352,9883:1,6894.0,31.0,7.4116965837,11.130223616,10.0,76.541305855
35,28071,Lafayette,4.0,11.0,2.0,20.058568455,13.838605183,1648:1,3619.0,54.0,3.8807768642,11.954242837,9.9,78.002732848
36,28073,Lamar,3.0,4.0,3.0,18.120067531,13.074458058,731:1,6893.0,50.0,3.6348738119,9.6131912536,9.7,78.847701582
37,28075,Lauderdale,30.0,25.0,6.0,21.084720949,12.594726937,1073:1,6023.0,36.0,5.0343698854,16.545203861,10.4,75.194808843
38,28077,Lawrence,53.0,47.0,58.0,23.560596544,15.492008473,4214:1,8273.0,45.0,5.9500542888,15.819030293,9.6,72.470118217
39,28079,Leake,33.0,65.0,67.0,26.452762384,19.013237064,4543:1,5230.0,35.0,4.9072789201,11.446180938,10.1,75.381855326
40,28081,Lee,15.0,12.0,4.0,20.924155614,14.083588797,1023:1,4765.0,54.0,3.8861453706,13.540084537,10.5,74.869402154
41,28083,Leflore,75.0,72.0,12.0,30.91647539,14.521647307,1328:1,6337.0,38.0,6.7505609209,10.95027889,10.2,70.465850703
