,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,29001,Adair,67.0,37.0,3.0,21.401499805,10.602460531,976:1,2032.0,52.0,3.513868066,11.821728337,9.5,77.531515136
1,29003,Andrew,8.0,6.0,22.0,16.336582174,9.3614035088,8778:1,4186.0,49.0,2.6639132679,7.9749359157,9.9,79.681076329
2,29005,Atchison,12.0,15.0,76.0,17.396007513,11.997966446,2638:1,7195.0,45.0,2.4900757849,28.436018957,9.2,78.241482526
3,29007,Audrain,72.0,82.0,24.0,19.399256445,12.297700728,1972:1,3828.0,30.0,3.091447612,10.92001092,10.0,75.890456661
4,29009,Barry,75.0,97.0,74.0,21.362587987,17.474758286,1551:1,3740.0,35.0,2.9694715239,14.578894247,9.8,75.943556245
5,29011,Barton,47.0,27.0,97.0,20.851428616,14.373738447,2963:1,6222.0,36.0,3.0882069099,11.814345992,9.3,78.690109407
6,29013,Bates,52.0,51.0,96.0,19.50929522,12.817943579,4084:1,6578.0,30.0,3.8065326633,11.632178278,9.4,76.062471188
7,29015,Benton,82.0,35.0,79.0,20.32595055,14.879448909,3815:1,4536.0,37.0,4.5219095618,14.155394778,9.4,75.656755528
8,29017,Bollinger,74.0,74.0,84.0,20.706786694,14.24027906,12306:1,4980.0,39.0,3.6013095671,7.313505607,10.5,75.959609829
9,29019,Boone,10.0,26.0,2.0,16.689828494,10.060318973,887:1,3645.0,50.0,2.271557139,11.555440874,10.1,80.181556209
10,29021,Buchanan,66.0,108.0,14.0,21.128093048,11.493429919,1563:1,5002.0,53.0,2.959389724,12.462808062,10.2,76.342799715
11,29023,Butler,106.0,109.0,81.0,23.178453518,12.835091027,1016:1,7084.0,22.0,4.5788050974,10.078282473,10.8,74.277865407
12,29025,Caldwell,42.0,64.0,77.0,19.560283836,12.412733873,,6198.0,45.0,3.1335149864,14.285714286,9.3,77.390197809
13,29027,Callaway,23.0,41.0,13.0,18.057466494,10.604822231,2649:1,3662.0,51.0,2.9307156068,9.5487653224,10.0,77.898298231
14,29029,Camden,33.0,3.0,20.0,17.589149053,14.253795299,1304:1,3355.0,35.0,4.214662504,12.491234222,9.8,79.386717855
15,29031,Cape Girardeau,44.0,19.0,8.0,19.157647899,10.359289135,1071:1,4313.0,48.0,2.7544491102,13.561750745,11.3,77.537984509
16,29033,Carroll,58.0,54.0,41.0,19.312509749,13.249854397,2932:1,4516.0,48.0,3.1390134529,18.190086403,9.3,76.492196467
17,29035,Carter,100.0,88.0,108.0,20.33487026,15.978749489,6169:1,5575.0,28.0,5.1333068046,9.7260496029,9.7,72.772589606
18,29037,Cass,9.0,14.0,23.0,16.918023134,8.8401500764,4322:1,5183.0,47.0,3.0522560953,9.5445605646,9.9,78.758399082
19,29039,Cedar,64.0,95.0,68.0,21.554488085,14.5731478,3518:1,2594.0,29.0,3.4440344403,11.369288709,9.1,75.695815093
20,29041,Chariton,22.0,16.0,66.0,19.463293773,12.021371327,7480:1,4140.0,32.0,2.7925531915,16.042780749,9.4,79.380514547
21,29043,Christian,6.0,12.0,12.0,17.754669107,10.060585848,2248:1,3775.0,51.0,2.5768587084,8.8959640416,9.9,79.669693558
22,29045,Clark,20.0,31.0,104.0,18.483815831,13.791793313,3362:1,9621.0,49.0,3.85942893,14.874312063,10.1,78.469635098
23,29047,Clay,3.0,5.0,10.0,16.046611731,8.5838639864,1437:1,4961.0,53.0,2.893931195,9.9228406499,10.0,79.743138758
24,29049,Clinton,17.0,23.0,21.0,16.20987537,9.1934909134,1869:1,5227.0,45.0,3.1514928124,9.2439427849,9.7,76.692311846
25,29051,Cole,16.0,40.0,4.0,16.929257951,10.091896129,1421:1,3386.0,58.0,2.5007193492,23.726338843,10.0,79.156729139
26,29053,Cooper,28.0,28.0,19.0,18.103825753,10.645112094,2521:1,3870.0,44.0,3.0980603448,11.335298118,9.7,77.348615391
27,29055,Crawford,98.0,104.0,83.0,23.223672899,14.800709516,,4391.0,30.0,3.9235598227,12.032196498,9.8,74.485654128
28,29057,Dade,70.0,47.0,48.0,21.414300667,14.863921842,1518:1,3861.0,42.0,2.7125279642,15.814443859,9.2,76.60102764
29,29059,Dallas,84.0,71.0,105.0,19.662711223,16.734941587,16673:1,4565.0,25.0,3.9190353144,4.1984046062,9.4,75.571108373
30,29061,Daviess,5.0,99.0,101.0,18.44236445,16.245376079,8361:1,5184.0,41.0,3.0138339921,7.1761750987,9.4,79.002667318
31,29063,DeKalb,19.0,57.0,58.0,18.104720264,10.487567718,4196:1,5013.0,43.0,3.1476496169,8.7384810931,9.6,77.297590959
32,29065,Dent,83.0,25.0,109.0,21.95301244,16.421650518,5160:1,5868.0,27.0,3.3069849976,10.335917313,9.4,77.007478312
33,29067,Douglas,76.0,86.0,99.0,21.413020706,15.240399153,6650:1,4864.0,36.0,4.5717708125,9.7744360902,9.5,75.778362563
34,29069,Dunklin,114.0,115.0,93.0,30.353989914,13.195110759,2317:1,7491.0,37.0,5.5032226078,15.93678409,11.3,72.606778586
35,29071,Franklin,48.0,38.0,11.0,17.547792786,10.407223961,1498:1,4090.0,52.0,3.067684128,14.51659731,10.7,76.835830744
36,29073,Gasconade,41.0,18.0,27.0,17.49402285,11.963406052,2104:1,3928.0,40.0,2.9024767802,15.618633709,9.9,76.811094669
37,29075,Gentry,25.0,17.0,52.0,18.408810705,12.134364975,3333:1,4757.0,45.0,2.4274553571,18.004501125,9.3,76.533032758
38,29077,Greene,38.0,42.0,7.0,17.403314194,11.310065409,1020:1,4439.0,52.0,2.5501340049,12.077086317,10.1,77.256335449
39,29079,Grundy,88.0,56.0,44.0,19.429352472,13.649538867,3316:1,4203.0,45.0,3.6155202822,19.097396723,9.3,76.341712726
40,29081,Harrison,54.0,78.0,67.0,20.327574538,14.659525631,2841:1,4025.0,37.0,3.0825496343,11.731581417,9.2,77.46533776
41,29083,Henry,71.0,62.0,45.0,19.749283591,12.726514068,1448:1,5190.0,35.0,3.5630423686,14.273874206,9.3,75.980872322
42,29085,Hickory,108.0,48.0,95.0,21.858620995,16.374738872,4738:1,4800.0,25.0,4.1210224309,8.4432717678,9.2,75.472478535
43,29087,Holt,29.0,20.0,54.0,18.596351643,13.243820568,4413:1,4276.0,42.0,2.3827534039,18.128257421,9.6,79.766288981
44,29089,Howard,68.0,21.0,31.0,19.240206726,12.557407164,2535:1,3597.0,39.0,2.8353106777,10.849196173,9.5,77.347134761
45,29091,Howell,80.0,100.0,25.0,21.961729429,12.93212213,978:1,3813.0,37.0,3.5729686441,12.717253073,9.9,75.83912504
46,29093,Iron,103.0,39.0,87.0,21.654591198,12.656449553,10226:1,5449.0,38.0,5.3893905192,10.756894191,9.8,73.863195657
47,29095,Jackson,53.0,89.0,17.0,16.76643134,12.585964942,1304:1,5302.0,48.0,3.733484604,11.346482662,10.4,77.264784931
48,29097,Jasper,56.0,75.0,18.0,18.971497958,14.150231814,1653:1,4211.0,49.0,2.7461853631,13.226082834,10.0,75.904256031
49,29099,Jefferson,57.0,22.0,32.0,18.59384267,9.9874062024,4145:1,5393.0,52.0,3.1153184165,7.3723247397,11.3,75.914726455
50,29101,Johnson,11.0,80.0,42.0,17.771772164,10.047464744,2343:1,5309.0,42.0,3.7054923827,9.648032358,9.4,78.424512947
51,29103,Knox,55.0,30.0,78.0,20.380318366,17.474447742,3977:1,3684.0,43.0,2.8095733611,12.572290671,9.5,77.364382001
52,29105,Laclede,89.0,93.0,80.0,20.498946466,13.730144877,1865:1,5051.0,27.0,3.6937742032,11.285726378,9.5,74.597297288
53,29107,Lafayette,27.0,24.0,55.0,17.338609657,10.365900237,4080:1,5473.0,38.0,3.2075804838,15.624521308,9.5,76.812671635
54,29109,Lawrence,81.0,65.0,53.0,20.391069332,13.641931532,1830:1,4553.0,38.0,3.0497237569,14.57043243,9.7,74.870221022
55,29111,Lewis,95.0,45.0,82.0,18.899929455,11.90161333,4984:1,5368.0,31.0,2.8436948421,12.039731113,10.3,74.588850224
56,29113,Lincoln,39.0,90.0,64.0,17.926656468,10.497500103,14046:1,5291.0,43.0,3.3032484379,6.5856219853,10.9,76.55744973
57,29115,Linn,94.0,44.0,49.0,20.545578153,12.420548088,2439:1,3883.0,40.0,4.6951100721,13.121207151,9.3,74.251583916
58,29117,Livingston,43.0,77.0,28.0,18.48785883,12.188444109,1264:1,5107.0,48.0,2.4933333333,12.522243459,9.3,78.066358909
59,29119,McDonald,92.0,87.0,114.0,23.193872639,20.26250593,7609:1,4969.0,34.0,3.0360711906,7.4469949185,9.7,74.82076902
60,29121,Macon,36.0,29.0,26.0,19.643181166,12.072056689,3050:1,3735.0,40.0,2.9369534003,13.113894171,9.5,77.574581049
61,29123,Madison,96.0,70.0,65.0,21.646498711,12.654478603,2449:1,4695.0,38.0,3.5505124451,12.251899044,10.0,74.135136342
62,29125,Maries,60.0,53.0,63.0,18.888693863,15.103866128,8867:1,3526.0,44.0,3.3040784719,15.788880117,9.6,77.185876525
63,29127,Marion,37.0,59.0,36.0,19.654551603,10.030462231,1101:1,7374.0,23.0,3.0934256055,18.858699448,10.4,77.076022776
64,29129,Mercer,59.0,33.0,86.0,19.818892074,15.510630882,3678:1,3039.0,32.0,3.1413612565,13.594344753,9.1,76.390319529
65,29131,Miller,51.0,91.0,40.0,20.969759209,13.21575021,3604:1,3791.0,45.0,3.6575297226,9.1168542889,9.8,77.498775808
66,29133,Mississippi,113.0,113.0,106.0,30.642188573,13.423249839,6793:1,7028.0,29.0,3.823479872,9.5686736346,11.4,72.284656178
67,29135,Moniteau,4.0,73.0,43.0,16.801942827,15.475223396,8032:1,3658.0,51.0,2.9904471826,14.941169146,9.7,78.34917579
68,29137,Monroe,24.0,7.0,46.0,18.18915742,12.692132096,2871:1,4656.0,37.0,3.5606060606,12.772875058,9.7,78.679675573
69,29139,Montgomery,77.0,34.0,62.0,20.132675465,12.999322952,5719:1,3576.0,33.0,2.8807307219,13.114180801,10.0,75.318269338
70,29141,Morgan,85.0,68.0,91.0,21.811673389,19.267029611,5036:1,3805.0,39.0,4.2668344871,12.410027302,9.6,74.897760915
71,29143,New Madrid,112.0,111.0,107.0,26.272392649,13.479848235,17582:1,7307.0,33.0,4.7725577927,13.081560687,11.3,72.512045589
72,29145,Newton,45.0,43.0,71.0,19.423400874,15.890428399,1653:1,4370.0,40.0,3.0148354877,11.665808887,10.0,76.243282992
73,29147,Nodaway,13.0,79.0,16.0,19.209569553,11.130775551,1873:1,3230.0,31.0,2.9295774648,9.3449626201,9.4,79.578887487
74,29149,Oregon,107.0,83.0,103.0,22.457956597,14.681197545,,4934.0,26.0,3.4552845528,4.7357454063,9.7,74.542206002
75,29151,Osage,7.0,4.0,9.0,15.471905042,9.8743105163,6831:1,3099.0,60.0,2.4156660949,8.0515297907,9.8,79.150967039
