,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,30001,Beaverhead,10.0,14.0,1.0,13.981102999,11.708225853,726:1,911.0,56.0,3.1330557208,10.5999576,7.3,80.953495031
1,30003,Big Horn,48.0,47.0,47.0,22.656629695,19.419286095,1484:1,5786.0,40.0,9.5919968615,5.9880239521,6.0,68.84398713
2,30005,Blaine,45.0,45.0,45.0,23.113083112,17.453686887,1677:1,4070.0,18.0,4.2776080314,8.9445438283,5.7,75.072063113
3,30007,Broadwater,4.0,23.0,27.0,13.077721414,11.293543377,2968:1,2954.0,41.0,3.9573820396,8.423180593,6.0,79.4996459
4,30009,Carbon,9.0,10.0,22.0,12.251904022,11.731634183,2139:1,3928.0,46.0,3.5174047749,8.4143605086,5.4,81.159752308
5,30011,Carter,NR,NR,NR,12.068162928,12.693156733,1222:0,4058.0,15.0,2.5297619048,0.0,5.2,
6,30013,Cascade,32.0,24.0,7.0,16.129373528,10.082418427,1458:1,3455.0,47.0,3.5986049461,12.736669361,5.8,77.868738189
7,30015,Chouteau,37.0,40.0,40.0,17.199853406,14.934921685,5765:1,3438.0,26.0,3.022974607,12.142237641,5.7,78.32330867
8,30017,Custer,11.0,32.0,8.0,12.299305801,8.9853499729,1066:1,2795.0,37.0,3.0982201714,6.8253561983,5.7,79.172816213
9,30019,Daniels,20.0,17.0,35.0,11.215480246,10.240496509,1737:0,3095.0,9.0,2.1566401816,0.0,6.0,80.673597618
10,30021,Dawson,2.0,26.0,20.0,12.23394212,7.9768786127,2238:1,3918.0,34.0,2.7161026083,14.525139665,5.6,80.727000272
11,30023,Deer Lodge,43.0,33.0,13.0,17.688345802,10.112009956,759:1,4850.0,45.0,3.5582344935,7.687239183,7.4,75.583901716
12,30025,Fallon,22.0,30.0,38.0,10.709184716,9.1198725607,1505:1,5291.0,12.0,1.8779342723,26.586905949,5.2,78.471026514
13,30027,Fergus,15.0,21.0,10.0,14.152170974,11.46254459,1411:1,2535.0,34.0,3.7203668455,15.056239483,4.8,78.604705258
14,30029,Flathead,8.0,6.0,6.0,13.547345029,10.258735265,1111:1,2256.0,43.0,4.7894043061,13.9,8.9,79.661115194
15,30031,Gallatin,3.0,4.0,5.0,11.240509984,8.1879310718,1225:1,2405.0,48.0,2.519983742,12.1510064,7.1,82.427431691
16,30033,Garfield,NR,NR,NR,11.983023926,15.086646279,1293:0,1653.0,26.0,2.7100271003,0.0,5.2,
17,30035,Glacier,47.0,46.0,48.0,24.896424448,19.904844291,1240:1,7210.0,18.0,7.7892525818,5.8651026393,6.6,69.614459334
18,30037,Golden Valley,NR,NR,NR,14.559018691,14.358108108,822:1,,30.0,4.6070460705,0.0,4.8,
19,30039,Granite,33.0,1.0,32.0,12.262955169,13.673036093,3358:1,2727.0,28.0,5.3731343284,0.0,6.7,83.369938392
20,30041,Hill,39.0,44.0,23.0,16.883408621,12.775298163,1646:1,3442.0,31.0,3.599106791,10.933608698,6.1,76.767565737
21,30043,Jefferson,7.0,5.0,12.0,11.611148878,8.3466581388,1321:1,3004.0,45.0,3.836589698,6.7277773106,7.3,80.219745398
22,30045,Judith Basin,26.0,25.0,15.0,13.26631824,11.784975879,1961:0,647.0,34.0,3.3695652174,0.0,4.5,85.285544366
23,30047,Lake,42.0,38.0,34.0,17.249311264,15.303577571,1442:1,4902.0,38.0,4.2862580891,9.2491659234,8.8,77.904741022
24,30049,Lewis and Clark,14.0,7.0,4.0,12.591504018,7.7014564883,1076:1,3066.0,47.0,3.3225215061,21.837604946,6.1,79.457896553
25,30051,Liberty,NR,NR,NR,12.056048462,19.388830348,2427:1,4080.0,34.0,2.489626556,12.360939431,5.9,88.737801726
26,30053,Lincoln,29.0,15.0,28.0,16.139727054,12.888436067,1296:1,2580.0,19.0,7.382133995,13.374485597,9.0,78.209724776
27,30055,McCone,21.0,11.0,36.0,11.586875556,16.640378549,1718:0,2474.0,44.0,1.8367346939,17.462165308,5.5,76.614949775
28,30057,Madison,1.0,3.0,37.0,11.888862419,13.689337276,1168:1,3977.0,23.0,3.5427807487,13.455657492,6.8,82.162975094
29,30059,Meagher,34.0,29.0,42.0,15.320321343,11.559348332,926:1,5536.0,15.0,3.8743455497,0.0,4.7,82.334276859
30,30061,Mineral,35.0,19.0,19.0,16.154673629,10.641835717,2128:1,1854.0,28.0,7.1594877765,0.0,8.5,77.152909634
31,30063,Missoula,13.0,16.0,2.0,13.92346786,8.6359003922,979:1,2670.0,50.0,3.3296865338,11.409984588,8.6,79.461978197
32,30065,Musselshell,36.0,20.0,30.0,16.306338534,12.367802585,,3929.0,34.0,4.278782532,8.6225479629,5.2,77.331462261
33,30067,Park,19.0,8.0,18.0,12.797371828,10.141509434,743:1,3670.0,29.0,3.831330764,15.287714792,5.4,80.302083784
34,30069,Petroleum,NR,NR,NR,12.735081441,11.794871795,523:0,,28.0,4.181184669,0.0,5.1,
35,30071,Phillips,28.0,41.0,44.0,15.782264335,14.236220472,4119:1,5358.0,39.0,4.5359749739,7.2833211945,4.8,78.919271687
36,30073,Pondera,31.0,42.0,24.0,16.823441848,13.574176999,1987:1,1993.0,39.0,4.0560471976,15.100671141,6.0,77.369136307
37,30075,Powder River,NR,NR,NR,14.185006215,14.683153014,1752:0,1624.0,43.0,2.8836251287,0.0,5.5,84.328624484
38,30077,Powell,25.0,37.0,29.0,14.973532769,10.78680203,1699:1,3867.0,27.0,4.1319444444,8.8300220751,6.9,78.062934454
39,30079,Prairie,23.0,36.0,31.0,12.353958052,11.447368421,1109:0,3007.0,28.0,3.6585365854,0.0,5.4,
40,30081,Ravalli,16.0,12.0,26.0,13.627257909,12.709550419,1637:1,3193.0,37.0,4.1932405966,10.572563024,8.7,79.7359951
41,30083,Richland,5.0,31.0,14.0,11.820284936,10.699241786,2208:1,2268.0,50.0,3.0565461029,18.117583114,6.2,78.162133474
42,30085,Roosevelt,46.0,48.0,43.0,23.204608041,19.591623037,2775:1,3463.0,28.0,4.5729657028,4.5053162732,6.3,68.323739418
43,30087,Rosebud,44.0,43.0,39.0,17.028074252,13.823034072,1850:1,4214.0,27.0,5.291548934,15.138408304,6.1,73.307240179
44,30089,Sanders,41.0,28.0,33.0,17.276857829,15.595178302,1301:1,2860.0,22.0,6.3798530955,6.8311843566,9.5,77.529433585
45,30091,Sheridan,17.0,39.0,25.0,12.160767491,10.778885197,1735:1,4323.0,50.0,2.3742227247,23.06140098,6.2,81.259272919
46,30093,Silver Bow,38.0,18.0,9.0,15.901433785,9.5585286719,1384:1,3454.0,46.0,4.0143868198,9.5370209814,8.0,76.646058352
47,30095,Stillwater,6.0,2.0,11.0,11.512124179,8.263229308,4710:1,1842.0,36.0,3.4063260341,11.678522136,5.3,81.708894707
48,30097,Sweet Grass,12.0,9.0,16.0,11.521491776,9.8765432099,1846:1,1308.0,18.0,3.0474040632,13.546464373,4.8,82.835031991
49,30099,Teton,27.0,13.0,21.0,12.401746787,12.017075774,6085:1,2212.0,37.0,3.3678756477,21.36400986,5.9,79.762959628
50,30101,Toole,40.0,27.0,41.0,14.330549134,13.423212192,2443:1,5183.0,30.0,2.641509434,8.1866557511,6.4,76.663812935
51,30103,Treasure,NR,NR,NR,15.036315435,14.226804124,679:0,1359.0,54.0,2.9673590504,0.0,5.6,
52,30105,Valley,18.0,35.0,17.0,14.315096149,12.398445779,1487:1,2727.0,37.0,3.0515863405,13.453518095,5.7,79.15194421
