,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,31001,Adams,64.0,48.0,4.0,15.752684918,8.7603305785,1131:1,3696.0,59.0,2.8706109869,13.889765768,8.0,78.58840525
1,31003,Antelope,24.0,14.0,55.0,13.622175287,10.97107438,2121:1,4028.0,31.0,2.3782876329,26.721156869,7.5,80.015174777
2,31005,Arthur,NR,NR,NR,13.975261353,14.985590778,457:0,,46.0,5.0228310502,0.0,5.3,
3,31007,Banner,NR,NR,NR,13.939650706,10.017889088,742:0,,40.0,3.4120734908,0.0,4.6,
4,31009,Blaine,NR,NR,NR,11.843522452,14.049586777,482:0,5005.0,34.0,4.5801526718,0.0,5.8,
5,31011,Boone,18.0,21.0,32.0,11.774538275,9.1192704584,669:1,6281.0,26.0,2.2245037645,14.947683109,7.7,81.304019283
6,31013,Box Butte,42.0,73.0,37.0,15.354106557,9.7174755069,2177:1,2821.0,38.0,2.7597703278,20.209443322,4.7,78.543469806
7,31015,Boyd,32.0,39.0,53.0,13.012156574,14.21319797,659:1,5423.0,35.0,2.9547553093,20.232675771,6.3,79.733372695
8,31017,Brown,51.0,52.0,42.0,15.009043012,12.041181737,1005:1,1890.0,11.0,3.3045977011,23.224950232,5.6,77.213502466
9,31019,Buffalo,17.0,31.0,7.0,14.879676011,9.6176413065,1105:1,3588.0,61.0,2.3433832822,14.477599936,7.8,81.089142687
10,31021,Burt,62.0,74.0,40.0,14.531675223,11.036857027,2178:1,2766.0,23.0,3.3477633478,18.362662586,8.8,78.588525954
11,31023,Butler,21.0,23.0,5.0,12.718314191,8.7519747235,1007:1,2217.0,50.0,2.3163467902,12.417732522,8.5,78.839829914
12,31025,Cass,14.0,70.0,25.0,12.759021989,7.0036370419,3236:1,3412.0,54.0,2.9604519774,12.360461972,9.3,79.970055251
13,31027,Cedar,4.0,11.0,52.0,11.240074301,9.6629213483,8530:1,2714.0,39.0,2.332361516,15.240328253,8.1,80.553445811
14,31029,Chase,30.0,29.0,77.0,14.482269712,16.894252144,,4422.0,19.0,2.1604938272,17.627801561,6.2,78.706446383
15,31031,Cherry,45.0,25.0,60.0,14.280162296,14.932626463,1455:1,3139.0,10.0,2.1333333333,15.469233414,5.0,80.415987366
16,31033,Cheyenne,60.0,9.0,46.0,12.351560892,6.7916877851,1613:1,4048.0,34.0,2.8112449799,11.368334022,5.3,78.951796685
17,31035,Clay,39.0,60.0,51.0,13.409486432,11.795810454,3103:1,3172.0,43.0,3.0873726459,14.50443191,8.0,79.853639942
18,31037,Colfax,35.0,45.0,49.0,18.504992362,16.653773898,,1534.0,41.0,2.3218142549,16.060462919,8.6,80.996236866
19,31039,Cuming,1.0,7.0,45.0,12.463198004,12.619149239,2261:1,2670.0,26.0,2.4612773181,14.377350144,8.7,83.9407066
20,31041,Custer,20.0,46.0,70.0,13.808078458,11.255051105,1816:1,6113.0,46.0,2.1167315175,11.92988896,6.7,80.051958322
21,31043,Dakota,40.0,78.0,75.0,20.431433523,16.058820097,10093:1,5034.0,44.0,3.4610745105,9.412464084,8.9,78.533577127
22,31045,Dawes,36.0,26.0,35.0,13.224712705,11.006045574,1270:1,3328.0,40.0,2.6785714286,15.748031496,4.1,79.786423734
23,31047,Dawson,46.0,41.0,73.0,18.186039891,14.761171032,1694:1,5078.0,35.0,2.7524354415,20.66725716,7.2,80.437050217
24,31049,Deuel,37.0,22.0,74.0,13.938524342,11.806543385,1883:0,4910.0,28.0,2.977412731,31.864046734,5.6,79.825636099
25,31051,Dixon,15.0,24.0,47.0,12.520026599,10.81556386,2877:1,3512.0,43.0,2.9875246225,20.855057351,8.5,80.251009315
26,31053,Dodge,59.0,79.0,24.0,13.446449058,10.716027025,1468:1,3805.0,61.0,2.7322968855,13.893807721,9.0,78.428746215
