,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,32001,Churchill,9.0,12.0,6.0,17.094345474,13.636829693,1864:1,3382.0,42.0,3.8879971464,8.6669418077,7.4,75.986759221
1,32003,Clark,5.0,4.0,10.0,19.262403295,13.268244798,1820:1,4961.0,34.0,4.7939467123,3.3483373327,9.4,78.842824572
2,32005,Douglas,2.0,1.0,3.0,15.270304995,12.313432836,1725:1,3073.0,46.0,4.3396556245,6.8310252748,7.5,81.413212221
3,32007,Elko,4.0,6.0,7.0,17.700705795,13.13466259,2771:1,3134.0,36.0,3.2709591867,5.1283025319,5.8,79.069178499
4,32009,Esmeralda,NR,NR,NR,22.368043858,13.982300885,850:1,,19.0,4.8498845266,0.0,5.2,
5,32011,Eureka,NR,NR,NR,15.990658193,7.5367647059,1961:1,2169.0,29.0,2.7255639098,0.0,4.7,83.667852225
6,32013,Humboldt,10.0,10.0,15.0,17.953495527,15.324585635,2103:1,4589.0,18.0,3.3782129743,8.3204564365,6.7,76.773657442
7,32015,Lander,12.0,7.0,8.0,18.056457418,12.479304636,5693:1,1453.0,19.0,3.7131069502,7.0261724925,4.8,78.073521426
8,32017,Lincoln,1.0,5.0,14.0,15.857187174,12.246003793,2612:1,5390.0,33.0,4.4540229885,0.0,4.6,81.445901192
9,32019,Lyon,11.0,15.0,9.0,18.04623348,13.204695213,6014:1,3485.0,37.0,5.3945787154,4.9887291674,8.3,76.735024793
10,32021,Mineral,15.0,14.0,11.0,21.930848167,11.864913329,2229:1,3969.0,23.0,5.4950751685,0.0,5.5,75.060899931
11,32023,Nye,14.0,11.0,12.0,19.120232055,12.808295024,3400:1,4408.0,30.0,5.7139455985,5.6558526763,6.5,74.052702244
12,32027,Pershing,6.0,13.0,13.0,19.559098355,15.205443601,,2920.0,33.0,4.0989945862,0.0,5.7,79.127055612
13,32029,Storey,7.0,2.0,1.0,15.705717921,8.7656529517,,2127.0,40.0,4.4389027431,0.0,7.5,84.515737061
14,32031,Washoe,3.0,3.0,2.0,15.862527645,12.437204935,1355:1,3275.0,45.0,3.6255274895,6.2528903334,8.4,78.331471743
15,32033,White Pine,8.0,8.0,4.0,18.550381159,10.97653293,1599:1,2783.0,33.0,3.6924413553,0.0,4.5,79.407691613
16,32510,Carson City,13.0,9.0,5.0,19.819263311,12.628434016,1303:1,3912.0,44.0,4.7282059258,8.037263677,7.2,74.735673648
