,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,33001,Belknap,8.0,6.0,4.0,12.06237751,7.6264920249,1559:1,3227.0,49.0,2.5182959957,11.680513285,6.8,77.980267836
1,33003,Carroll,7.0,4.0,8.0,12.584887675,8.9881825239,1092:1,3417.0,51.0,2.5331469479,12.483355526,6.8,79.42713929
2,33005,Cheshire,5.0,7.0,5.0,12.860303203,7.1532488475,1461:1,3060.0,44.0,2.5109702584,9.215376514,8.3,78.808828836
3,33007,Coos,10.0,10.0,9.0,14.858929085,7.7905777937,879:1,3819.0,31.0,3.1973161714,11.064045015,6.2,77.136315707
4,33009,Grafton,2.0,2.0,3.0,11.73241985,8.4228177595,508:1,3332.0,40.0,2.0809808034,13.0892981,7.0,80.80190948
5,33011,Hillsborough,4.0,5.0,6.0,12.123609309,7.1801539878,1135:1,4510.0,53.0,2.626680455,9.275147243,7.5,79.426993582
6,33013,Merrimack,3.0,3.0,2.0,10.926091331,7.466197853,904:1,4171.0,53.0,2.2136565207,13.805490028,7.7,79.570595404
7,33015,Rockingham,1.0,1.0,1.0,9.2801835442,5.5747480006,1321:1,3961.0,53.0,2.7511206771,9.5638180851,7.9,80.632618
8,33017,Strafford,9.0,9.0,10.0,14.280954236,7.4278383579,1568:1,5029.0,50.0,2.2862131525,7.6975111381,7.4,77.992696368
9,33019,Sullivan,6.0,8.0,7.0,13.018037672,7.2255192878,1346:1,3965.0,41.0,2.1184255758,7.1964157207,7.7,79.487220023
