,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,34001,Atlantic,19.0,17.0,16.0,20.650695155,10.463773958,1189:1,5291.0,48.0,5.8847262732,8.1876718114,9.4,77.247047169
1,34003,Bergen,3.0,2.0,4.0,14.471950907,8.6233725255,850:1,3231.0,50.0,3.4381283091,9.7848389825,9.9,83.227791467
2,34005,Burlington,13.0,7.0,6.0,14.399465002,5.5470544276,1190:1,5030.0,53.0,3.7670645651,8.7383748406,11.4,79.393127475
3,34007,Camden,18.0,19.0,13.0,18.538404778,7.6422547527,971:1,6062.0,52.0,4.6362199684,8.2041200739,11.6,77.336141472
4,34009,Cape May,17.0,18.0,7.0,17.648060469,8.1090199645,1701:1,4259.0,51.0,8.3870263187,13.36141011,9.0,77.208290049
5,34011,Cumberland,21.0,21.0,20.0,22.577367563,12.092197695,2311:1,7535.0,47.0,6.4723358584,9.505828056,9.9,75.360669825
6,34013,Essex,16.0,15.0,17.0,18.705065516,11.540175169,1197:1,5519.0,43.0,5.1739280794,8.1406929487,9.9,79.499817191
7,34015,Gloucester,15.0,16.0,14.0,16.132406848,5.5061964086,1849:1,5981.0,49.0,4.236453202,8.5898304621,10.9,77.808662323
8,34017,Hudson,11.0,13.0,21.0,20.490570741,13.248526475,1954:1,5928.0,37.0,3.8731793792,4.9736641591,9.9,82.19676215
9,34019,Hunterdon,1.0,4.0,3.0,10.516076106,4.8940934039,828:1,3644.0,52.0,3.2513487782,10.235169,10.2,83.396535951
10,34021,Mercer,10.0,10.0,9.0,14.958288885,9.6829627667,991:1,4746.0,51.0,3.6728856861,11.288037082,8.8,80.478793854
11,34023,Middlesex,6.0,5.0,8.0,14.479573857,8.4690294423,1083:1,4227.0,50.0,3.6296727065,6.6445340402,9.7,81.502399379
12,34025,Monmouth,7.0,8.0,5.0,13.6345305,6.8377420213,859:1,4289.0,50.0,3.6737169845,9.0843632404,9.9,80.535548588
13,34027,Morris,2.0,3.0,1.0,12.826468348,5.9275168693,974:1,2916.0,54.0,3.276096512,10.866672137,10.0,82.614664162
14,34029,Ocean,9.0,12.0,12.0,14.812623183,7.5825049529,2274:1,4246.0,50.0,4.3132025576,7.2582169203,7.8,79.062568871
15,34031,Passaic,14.0,14.0,18.0,24.005839859,13.165138256,1762:1,4219.0,45.0,5.1022967651,7.2570214609,9.7,80.667856611
16,34033,Salem,20.0,20.0,19.0,19.157700893,7.6036185183,2990:1,7580.0,49.0,5.4488626498,12.581220538,10.9,76.171195281
17,34035,Somerset,4.0,1.0,2.0,12.169988251,5.6926429751,862:1,3398.0,53.0,3.4358389159,9.6293734647,9.9,82.510982071
18,34037,Sussex,5.0,9.0,10.0,13.00397837,6.1253730331,2024:1,3533.0,51.0,3.9567254686,8.6108327099,9.1,79.394027599
19,34039,Union,8.0,6.0,15.0,19.405232537,11.297647844,1508:1,4149.0,47.0,4.3082993806,8.4945344144,10.4,81.548893486
20,34041,Warren,12.0,11.0,11.0,14.501765246,7.218858925,1695:1,4509.0,52.0,3.8266965383,9.5507406506,10.0,79.44555847
