,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,35001,Bernalillo,6.0,3.0,2.0,18.215684201,9.6581751273,970:1,2420.0,42.0,4.5084704597,7.9347137076,6.9,78.506776048
1,35003,Catron,9.0,12.0,16.0,16.332267408,10.046948357,1196:1,2616.0,25.0,6.4458370636,8.3635349875,4.3,83.503607769
2,35005,Chaves,16.0,23.0,23.0,23.165229448,11.789553083,1474:1,4418.0,42.0,4.8605225338,9.2498381278,7.4,75.661416457
3,35006,Cibola,29.0,31.0,24.0,27.81915578,12.601001338,1918:1,3336.0,42.0,6.2843060379,4.8411723085,5.2,76.542064761
4,35007,Colfax,30.0,16.0,7.0,23.55919616,9.1275322284,2435:1,2815.0,45.0,4.9452554745,15.607031378,4.6,77.650114333
5,35009,Curry,11.0,29.0,8.0,22.052434319,9.6027510969,2076:1,3177.0,40.0,4.0593647418,11.844535453,7.1,76.529998633
6,35011,De Baca,17.0,19.0,25.0,21.432810007,13.26762699,1829:1,3143.0,13.0,4.5572916667,27.33734281,5.9,78.133954356
7,35013,Dona Ana,4.0,13.0,15.0,25.121962458,11.54159132,1609:1,3781.0,40.0,5.6526366915,6.0766586727,7.8,80.210093501
8,35015,Eddy,10.0,21.0,13.0,19.44133274,8.8484798448,3000:1,3387.0,40.0,3.3305711372,9.4741828517,7.5,75.383382246
9,35017,Grant,13.0,5.0,3.0,20.335959542,7.7248677249,1204:1,2470.0,39.0,4.9069235794,8.6683280962,6.0,78.319169904
10,35019,Guadalupe,15.0,9.0,28.0,23.876109044,8.2525893752,2215:1,5961.0,33.0,5.5418719212,6.7735380447,5.5,76.740381717
11,35021,Harding,NR,NR,NR,19.845985901,9.1903719912,692:0,3658.0,35.0,5.3003533569,0.0,5.0,
12,35023,Hidalgo,19.0,10.0,21.0,24.871776454,10.04842615,,3533.0,25.0,3.8356164384,6.968641115,6.1,77.163894253
13,35025,Lea,12.0,24.0,31.0,22.210590602,11.993579997,2865:1,4937.0,25.0,4.12077796,10.616791984,7.6,76.180185966
14,35027,Lincoln,21.0,6.0,22.0,17.980392752,12.8113879,1492:1,3392.0,37.0,4.5506780051,15.983500902,5.6,77.138705583
15,35028,Los Alamos,1.0,1.0,1.0,10.42026489,3.0065022855,669:1,1659.0,48.0,3.3853594197,17.077596328,5.0,83.369206874
16,35029,Luna,18.0,28.0,29.0,26.683478984,12.909556779,2675:1,3968.0,31.0,11.902641733,6.2297533018,6.9,75.78579767
17,35031,McKinley,32.0,32.0,30.0,26.475818375,17.380284814,1273:1,5322.0,50.0,7.1356572869,5.5123752825,6.0,72.225791685
18,35033,Mora,23.0,11.0,9.0,34.394211596,9.9572388516,,1771.0,38.0,6.134157105,0.0,4.3,82.876837221
19,35035,Otero,8.0,27.0,12.0,22.305648284,10.739711425,2351:1,2826.0,35.0,4.8900451201,8.3565036389,6.7,77.603083131
20,35037,Quay,25.0,15.0,5.0,22.557972201,9.236031927,2769:1,1903.0,36.0,4.8407245472,15.651336383,5.9,74.049730038
21,35039,Rio Arriba,31.0,20.0,19.0,26.144443516,11.518058511,2447:1,3574.0,36.0,5.2069586083,6.1288592661,5.4,74.013201621
22,35041,Roosevelt,7.0,25.0,32.0,21.854439634,13.461283918,2692:1,6353.0,24.0,4.3428571429,11.672945296,6.9,77.939924933
23,35043,Sandoval,2.0,7.0,6.0,16.06402641,9.6876456876,1638:1,2807.0,42.0,4.9773335603,4.7015234339,7.0,79.277759967
24,35045,San Juan,26.0,30.0,20.0,21.953780472,13.985481685,1788:1,3442.0,49.0,5.7654605326,6.8543875959,6.5,76.029294207
25,35047,San Miguel,27.0,18.0,17.0,28.659265407,8.9100346021,1734:1,3900.0,36.0,5.9420422342,5.7661813464,5.4,76.918894821
26,35049,Santa Fe,3.0,2.0,4.0,16.889147656,13.280546416,891:1,1965.0,42.0,4.1433476627,9.3445378151,6.1,81.621654475
27,35051,Sierra,28.0,8.0,27.0,20.083415403,9.7779675491,2779:1,3203.0,21.0,7.0539419087,11.694854264,5.5,72.243965467
28,35053,Socorro,24.0,26.0,18.0,23.595288827,12.311097542,2400:1,2517.0,40.0,5.3137103021,4.1671627575,5.2,76.199035343
29,35055,Taos,20.0,4.0,10.0,21.717593602,12.638900321,1131:1,2405.0,41.0,6.5065065065,10.672358591,4.8,79.643423354
30,35057,Torrance,22.0,22.0,14.0,23.409513805,10.373727871,15506:1,1745.0,34.0,7.6209173657,5.8042048239,5.8,76.818650853
31,35059,Union,5.0,14.0,26.0,18.166562614,11.345158906,4187:1,3248.0,23.0,3.3276931754,14.330069262,4.9,81.521553678
32,35061,Valencia,14.0,17.0,11.0,22.521308784,10.879084967,3164:1,2327.0,39.0,5.4574320302,5.5306821175,6.3,77.40413427
