,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,36001,Albany,25.0,18.0,5.0,14.208671407,4.4009381719,996:1,4274.0,52.0,3.6792898291,14.695812824,9.1,80.033193096
1,36003,Allegany,47.0,46.0,50.0,14.416292355,5.8537727565,2345:1,5268.0,47.0,5.6317763733,15.780270397,8.5,77.99982845
2,36005,Bronx,62.0,43.0,62.0,26.79894691,8.9027436842,1768:1,5421.0,38.0,5.6644725549,2.6237798744,10.3,80.559175377
3,36007,Broome,52.0,32.0,17.0,15.929984942,5.3378301362,1218:1,4163.0,51.0,4.8645261963,11.671202599,8.9,78.673505459
4,36009,Cattaraugus,57.0,49.0,58.0,16.370699866,6.4828015666,2149:1,5371.0,46.0,5.3497942387,15.126441537,9.3,77.848798956
5,36011,Cayuga,20.0,35.0,40.0,14.158372297,5.0618108921,3695:1,5932.0,55.0,4.4779440396,10.180018814,8.3,79.440231197
6,36013,Chautauqua,61.0,55.0,20.0,18.017901402,5.2759920195,1870:1,3728.0,51.0,5.0297310567,17.125676115,9.6,77.34508697
7,36015,Chemung,53.0,53.0,14.0,14.74862208,4.1758673886,1316:1,5214.0,52.0,4.6617476606,11.220589782,8.3,77.171017363
8,36017,Chenango,50.0,41.0,29.0,14.735076655,5.0943495678,2659:1,4060.0,49.0,4.6707708779,11.073271629,8.2,77.299542939
9,36019,Clinton,29.0,45.0,38.0,14.767265821,5.3857801078,1446:1,5515.0,49.0,4.3839903371,7.779698691,6.7,79.447253971
10,36021,Columbia,24.0,11.0,43.0,13.717136686,6.0419342899,2020:1,4671.0,50.0,3.3189079106,10.395353442,8.5,79.642273987
11,36023,Cortland,39.0,38.0,13.0,13.406372374,4.2295743173,2389:1,4504.0,53.0,5.0813451389,10.672581928,7.9,78.185980446
12,36025,Delaware,33.0,27.0,44.0,15.393145055,6.6193488659,3214:1,3573.0,47.0,4.8222822698,14.22190618,7.9,79.287105258
13,36027,Dutchess,17.0,17.0,24.0,14.696919039,5.3434453996,1463:1,4084.0,50.0,3.6857170648,7.3417961349,9.3,80.571111352
14,36029,Erie,56.0,51.0,16.0,15.947174471,4.4900963057,1251:1,3944.0,46.0,4.4140661997,10.113146226,10.7,78.382904195
15,36031,Essex,9.0,10.0,19.0,11.420024915,5.2979892955,2372:1,3563.0,52.0,4.8834758168,14.490462641,6.6,80.821938143
16,36033,Franklin,28.0,62.0,31.0,15.642068131,7.3823851204,1704:1,3532.0,46.0,5.1610932967,9.5860395962,7.4,79.252096829
17,36035,Fulton,46.0,58.0,52.0,15.749096829,5.6794611853,2566:1,5417.0,50.0,5.0968221358,8.3523581491,8.0,78.440438584
18,36037,Genesee,45.0,44.0,30.0,13.699867323,4.8253885673,3220:1,3895.0,47.0,4.1784132098,12.250672924,9.1,78.125573566
19,36039,Greene,51.0,23.0,56.0,14.278534179,5.645137944,2792:1,4523.0,45.0,4.5092838196,9.4796713714,8.2,78.64034005
20,36041,Hamilton,12.0,8.0,18.0,13.874728545,6.7243035543,4485:1,2669.0,53.0,6.8379790941,20.066889632,6.6,79.943748506
21,36043,Herkimer,42.0,54.0,39.0,16.031260718,4.9290591651,3112:1,4994.0,49.0,4.9088960343,10.925449871,7.8,79.247035316
22,36045,Jefferson,31.0,60.0,21.0,16.411002872,4.6722394266,1969:1,4791.0,51.0,5.6163433353,10.946955433,7.8,78.575161926
23,36047,Kings,15.0,12.0,60.0,18.130732021,7.9661615942,1554:1,4793.0,36.0,4.2270456648,5.0476239735,10.1,82.635072827
24,36049,Lewis,36.0,56.0,34.0,14.043344768,5.8170983268,1562:1,5410.0,54.0,5.5408067141,16.571880532,7.0,79.549752452
25,36051,Livingston,23.0,29.0,42.0,15.448696277,4.4152669182,2363:1,5611.0,49.0,4.3241314432,13.009608301,8.5,79.988364043
26,36053,Madison,8.0,21.0,28.0,13.126796041,4.9842631279,1774:1,4447.0,48.0,4.7931351517,9.0185302614,8.0,80.934118024
