,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,37001,Alamance,37.0,46.0,60.0,17.954704364,14.14382019,2165:1,4721.0,52.0,3.6707494136,9.9143425436,10.5,77.463784854
1,37003,Alexander,33.0,45.0,85.0,15.920837424,13.410741221,4143:1,5729.0,42.0,3.162625534,16.89642225,10.1,77.146334654
2,37005,Alleghany,46.0,33.0,67.0,18.949304349,18.279163517,919:1,5181.0,53.0,4.506387921,12.691505757,8.7,78.226761154
3,37007,Anson,96.0,93.0,84.0,22.774451061,13.082773063,2083:1,5927.0,45.0,4.4681464399,10.003601296,10.2,74.183934645
4,37009,Ashe,18.0,20.0,56.0,15.809505842,15.730169018,2246:1,3937.0,52.0,3.5921568627,10.38691249,8.5,78.741459152
5,37011,Avery,32.0,21.0,91.0,16.6476292,19.961460979,3507:1,3948.0,47.0,3.6392197932,18.248175182,8.5,77.82964548
6,37013,Beaufort,78.0,57.0,29.0,18.956978723,13.93614934,1962:1,3973.0,53.0,4.5595014945,12.529731566,9.2,75.882278798
7,37015,Bertie,91.0,91.0,81.0,22.609442574,13.241810126,6408:1,5517.0,41.0,4.9412665986,25.488972118,9.1,76.289400168
8,37017,Bladen,88.0,82.0,99.0,20.764327341,16.720442498,4783:1,6824.0,30.0,5.2642530171,12.246848677,10.0,75.049638169
9,37019,Brunswick,36.0,14.0,16.0,16.415902592,13.519080419,2078:1,4024.0,58.0,5.1506610929,8.0979701597,9.3,78.632808222
10,37021,Buncombe,16.0,18.0,2.0,14.473508476,13.506175521,696:1,2954.0,53.0,2.9672908936,13.237217933,9.0,78.596962484
11,37023,Burke,60.0,50.0,31.0,17.014349433,14.698929815,1860:1,3877.0,53.0,3.5634195027,14.446821139,10.1,76.486141551
12,37025,Cabarrus,9.0,32.0,17.0,14.730247494,10.42423568,1149:1,5518.0,51.0,3.55906605,10.392899957,11.0,78.55974336
13,37027,Caldwell,53.0,65.0,46.0,16.668500024,13.919436361,2102:1,5002.0,53.0,3.8311244706,12.197948305,9.9,76.019160811
14,37029,Camden,4.0,12.0,61.0,13.768789332,11.871227364,5291:1,6170.0,50.0,3.7204301075,11.341083073,8.4,79.483548169
15,37031,Carteret,29.0,13.0,14.0,15.936653387,12.679847408,1325:1,3775.0,49.0,4.3111321052,12.920834483,8.7,77.696220114
16,37033,Caswell,75.0,49.0,75.0,18.900556514,12.946133012,5662:1,5715.0,48.0,4.3686354379,14.572109865,10.2,75.925649709
17,37035,Catawba,27.0,30.0,15.0,15.393386824,13.201780922,1505:1,3861.0,55.0,3.5037181797,14.242850089,10.5,76.586628593
18,37037,Chatham,11.0,2.0,10.0,15.493605698,14.248399676,1051:1,2968.0,59.0,3.3432456622,8.9545556302,10.3,81.7298371
19,37039,Cherokee,79.0,27.0,74.0,17.302028834,13.992897007,2809:1,4262.0,43.0,4.4058744993,12.105244419,9.0,76.666769456
20,37041,Chowan,83.0,78.0,12.0,20.64132206,11.949924127,1175:1,3464.0,49.0,4.4249372985,13.470400567,8.6,76.567850262
21,37043,Clay,67.0,17.0,53.0,17.070928132,15.592732976,1846:1,3530.0,46.0,4.3298467526,12.642225032,8.5,76.354650145
22,37045,Cleveland,82.0,75.0,42.0,17.910785155,11.926226332,1909:1,5877.0,50.0,3.9507150899,18.49302402,10.6,74.353865623
23,37047,Columbus,94.0,88.0,88.0,21.97416485,14.764652582,2664:1,6702.0,46.0,4.9914943146,7.5085812357,9.7,74.23425866
24,37049,Craven,49.0,36.0,4.0,17.038629017,11.57980023,1445:1,3670.0,57.0,4.1995761896,12.088362027,9.4,76.356676965
25,37051,Cumberland,69.0,77.0,43.0,19.498561182,10.775223291,1330:1,6271.0,39.0,5.140789484,9.2017344969,10.6,76.337981311
26,37053,Currituck,7.0,10.0,76.0,13.642424512,12.808126411,3762:1,5259.0,47.0,3.6088901929,9.8742926588,8.5,78.00126381
27,37055,Dare,5.0,7.0,22.0,14.155566273,13.009980739,1570:1,2269.0,48.0,5.1130925394,15.23587911,8.2,78.565328467
28,37057,Davidson,51.0,47.0,48.0,17.422171017,12.939621044,3940:1,4534.0,52.0,3.6523866587,10.817932385,10.8,76.356529561
29,37059,Davie,21.0,29.0,21.0,14.894970836,12.516668148,2497:1,3460.0,57.0,3.4189704015,9.6570567175,10.4,78.354536478
30,37061,Duplin,56.0,90.0,96.0,26.352486893,19.565080233,4217:1,4867.0,43.0,4.329351399,9.9933941971,9.9,79.492814377
31,37063,Durham,12.0,15.0,7.0,16.679165742,13.419437645,812:1,4177.0,58.0,3.4813789482,10.075728405,10.6,80.290853997
