,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,38001,Adams,32.0,3.0,2.0,13.143315448,10.059171598,232:1,2843.0,52.0,2.0657276995,0.0,4.8,78.282361746
1,38003,Barnes,7.0,15.0,7.0,11.999716577,7.9595151818,1073:1,3996.0,58.0,2.6899033908,19.564002236,5.7,79.486362884
2,38005,Benson,46.0,46.0,40.0,24.39876786,13.570577218,,5720.0,44.0,3.8695652174,7.2087658593,5.6,72.536267328
3,38007,Billings,NR,NR,NR,12.119684768,13.484646195,940:0,,37.0,2.8037383178,0.0,4.9,
4,38009,Bottineau,28.0,26.0,28.0,14.743380564,10.439447081,3265:1,4124.0,37.0,3.3422459893,24.50229709,5.7,75.575911143
5,38011,Bowman,21.0,1.0,26.0,11.553699706,11.787974684,,2827.0,16.0,1.8822100789,15.792798484,5.1,82.228203773
6,38013,Burke,20.0,41.0,23.0,12.626023821,12.009373169,,2171.0,31.0,2.4118738404,28.155795401,5.2,81.623109944
7,38015,Burleigh,3.0,4.0,6.0,12.026789862,6.5136811758,950:1,4454.0,57.0,2.633449067,16.415868673,5.6,81.464319034
8,38017,Cass,6.0,12.0,9.0,13.46947229,7.0768243659,988:1,4782.0,57.0,2.2933507687,10.799439779,6.8,81.058517941
9,38019,Cavalier,43.0,25.0,14.0,13.362086106,8.8905216752,3762:1,4634.0,58.0,2.5875190259,15.948963317,5.9,80.438453334
10,38021,Dickey,10.0,22.0,29.0,11.454823271,9.2612137203,1215:1,6498.0,48.0,1.7991631799,26.743468422,5.7,78.465907957
11,38023,Divide,34.0,24.0,41.0,13.630187929,11.11757858,,6369.0,15.0,1.3020833333,34.965034965,5.8,80.78069934
12,38025,Dunn,33.0,27.0,37.0,12.987279059,14.399779736,,3988.0,29.0,1.621979477,9.3261832595,4.4,78.875547334
13,38027,Eddy,38.0,39.0,13.0,15.295332739,10.212053571,,4485.0,51.0,4.8956661316,12.953367876,5.3,77.23761352
14,38029,Emmons,37.0,5.0,43.0,14.76883751,12.133891213,3301:1,7979.0,34.0,4.7940580689,9.0881551045,5.0,80.830443155
15,38031,Foster,17.0,21.0,16.0,12.37610558,7.7105575326,1086:1,5757.0,45.0,2.6168224299,24.562480811,5.3,79.692667631
16,38033,Golden Valley,NR,NR,NR,14.935036024,9.6504559271,1789:0,6408.0,26.0,2.004454343,16.769144774,5.2,87.577061317
17,38035,Grand Forks,31.0,17.0,4.0,14.857103953,7.9417365793,778:1,3684.0,54.0,2.2657136075,11.158980154,6.9,79.117817573
18,38037,Grant,27.0,10.0,44.0,14.319466838,18.414779499,,5520.0,26.0,2.6424442609,12.626262626,4.6,81.325016866
19,38039,Griggs,29.0,8.0,36.0,13.233903569,9.4363521216,2258:1,7075.0,36.0,2.2641509434,44.286979628,5.4,79.671744867
20,38041,Hettinger,40.0,36.0,27.0,12.787293722,11.30386122,,4139.0,31.0,2.0071684588,12.082158679,4.9,82.199526232
21,38043,Kidder,42.0,42.0,31.0,13.966322194,12.533051296,,3947.0,47.0,4.427480916,16.116035455,4.9,86.597610739
22,38045,LaMoure,16.0,19.0,19.0,13.612315852,11.947194719,4087:1,3094.0,47.0,1.9285042333,22.021042329,5.5,82.261329836
23,38047,Logan,26.0,9.0,47.0,12.252986667,18.776978417,1918:1,8683.0,42.0,2.5669642857,15.641293014,5.1,80.755856649
24,38049,McHenry,11.0,28.0,22.0,12.808113867,9.1878064379,,5344.0,49.0,3.8985736926,13.559322034,5.2,78.471918649
25,38051,McIntosh,36.0,2.0,45.0,13.849444971,14.452473596,1303:1,8244.0,21.0,2.6793431288,19.186492709,5.3,80.055492877
26,38053,McKenzie,25.0,35.0,35.0,13.929523721,12.845458459,12724:1,2454.0,28.0,1.6737335416,8.6450801635,5.3,79.663654542
27,38055,McLean,35.0,29.0,20.0,14.420308043,9.8351869221,4843:1,3153.0,41.0,3.3368091762,16.520392359,4.9,78.06997098
28,38057,Mercer,12.0,14.0,18.0,12.259199349,7.1811206023,1411:1,4289.0,20.0,4.2076089695,22.44536326,5.1,80.510476648
29,38059,Morton,15.0,37.0,17.0,13.559921448,6.9856087126,2053:1,5132.0,52.0,3.265508071,13.962852318,5.4,78.484000312
30,38061,Mountrail,44.0,45.0,42.0,16.440654308,15.413164502,3422:1,4385.0,30.0,1.5823679005,13.638577691,5.0,73.56773812
31,38063,Nelson,30.0,43.0,24.0,12.923705708,10.491803279,2937:1,4172.0,52.0,3.3684210526,23.833844059,5.5,78.380431802
32,38065,Oliver,NR,NR,NR,11.147928675,8.9356110381,1940:0,8187.0,34.0,4.1237113402,15.463917526,4.8,89.107140491
33,38067,Pembina,14.0,38.0,39.0,12.831515635,9.9588169225,3486:1,5797.0,25.0,3.9407407407,31.554790591,6.6,80.443192494
34,38069,Pierce,45.0,31.0,34.0,15.027716465,10.272606383,1025:1,7495.0,30.0,3.1772575251,12.198097097,5.4,81.88669365
35,38071,Ramsey,41.0,18.0,8.0,14.320022829,9.1575091575,1047:1,4173.0,59.0,2.8500619579,13.890094626,5.6,78.952825098
36,38073,Ransom,19.0,6.0,30.0,13.58940585,8.3173996176,1766:1,6106.0,37.0,1.9366197183,32.093637908,5.8,76.749027996
37,38075,Renville,24.0,20.0,12.0,12.319786704,8.026249369,,3548.0,51.0,2.4449877751,0.0,5.2,78.535208684
38,38077,Richland,4.0,34.0,21.0,12.659016875,8.0640075674,2044:1,6500.0,59.0,2.6345933562,20.793835239,6.4,81.167095361
39,38079,Rolette,47.0,48.0,48.0,29.800744065,18.240427707,2076:1,9069.0,37.0,9.4222980175,5.5054710619,5.8,71.914708196
40,38081,Sargent,13.0,23.0,25.0,12.323472323,7.8912021491,,6545.0,45.0,1.8912529551,15.552099533,5.8,82.851440002
41,38083,Sheridan,NR,NR,NR,14.737313196,16.541353383,1353:0,3403.0,36.0,4.6579330422,22.172949002,4.7,
42,38085,Sioux,48.0,47.0,46.0,33.728282273,17.276422764,,5746.0,31.0,4.08,0.0,5.1,68.518499178
43,38087,Slope,NR,NR,NR,12.439322781,13.930348259,771:0,,16.0,2.2556390977,0.0,5.0,
44,38089,Stark,5.0,30.0,11.0,12.056725374,8.392788646,1678:1,3388.0,51.0,2.4375380865,10.592869675,5.2,81.155153399
45,38091,Steele,18.0,16.0,3.0,11.013458076,7.7815699659,1917:0,1649.0,58.0,1.998001998,0.0,5.6,81.026587706
46,38093,Stutsman,22.0,11.0,1.0,12.999608696,8.3147641179,1318:1,2283.0,57.0,2.5056947608,17.546355575,5.5,78.966484882
47,38095,Towner,39.0,40.0,38.0,15.014507569,11.558669002,,5547.0,20.0,2.5919732441,22.192632046,5.6,80.058550439
48,38097,Traill,1.0,33.0,10.0,12.655563259,6.7367415194,4007:1,3605.0,51.0,2.6327632763,26.207412954,6.2,79.483098329
49,38099,Walsh,23.0,13.0,32.0,14.603629534,10.642287857,2171:1,6069.0,43.0,3.1531531532,16.582220175,6.5,78.407879376
50,38101,Ward,2.0,32.0,5.0,13.683353814,8.1022754739,1407:1,2706.0,53.0,2.8738325055,11.748324776,5.4,80.859386147
51,38103,Wells,9.0,7.0,15.0,12.73521554,8.2871012483,4022:1,3797.0,44.0,3.0242935052,32.322227747,5.1,80.060726087
52,38105,Williams,8.0,44.0,33.0,14.713216863,9.9603320111,1853:1,4959.0,35.0,1.9573400251,14.093376113,6.1,78.492751332
