,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,39001,Adams,85.0,88.0,87.0,22.300027705,9.0619045509,2311:1,7509.0,41.0,7.0684729518,8.2954627426,10.4,73.213776462
1,39003,Allen,61.0,58.0,52.0,16.502712331,7.6961444461,1518:1,6380.0,47.0,4.4864695434,16.376286362,12.2,76.53565192
2,39005,Ashland,23.0,35.0,44.0,16.792561078,8.2375203603,2063:1,4998.0,47.0,4.5800646054,19.01991497,11.3,77.805639776
3,39007,Ashtabula,64.0,81.0,79.0,16.773893778,8.3035131252,2794:1,6681.0,46.0,5.2658937329,12.269060497,11.0,75.317702646
4,39009,Athens,55.0,65.0,32.0,20.618433863,9.3174790927,1332:1,3544.0,47.0,5.7676363505,9.1595717525,10.5,77.952990737
5,39011,Auglaize,10.0,21.0,42.0,14.566995823,5.6595210764,2543:1,4843.0,47.0,3.3007334963,15.072742365,12.4,79.206959102
6,39013,Belmont,46.0,26.0,81.0,18.022422237,6.5468624729,2721:1,8458.0,43.0,5.4727344056,15.728586338,11.2,76.731679487
7,39015,Brown,69.0,67.0,71.0,17.285473098,7.5718678591,3631:1,5942.0,49.0,5.3598932129,5.7371029925,11.0,74.535789691
8,39017,Butler,53.0,25.0,41.0,16.472483558,6.87605763,1848:1,5764.0,52.0,4.1311913492,8.4076888314,13.0,76.524876613
9,39019,Carroll,38.0,28.0,62.0,16.206026411,7.7841806859,5477:1,4396.0,49.0,5.2555190589,13.876209604,11.3,77.409991655
10,39021,Champaign,32.0,32.0,76.0,15.835061956,6.6596598509,4855:1,6686.0,46.0,3.8407043821,11.071060762,11.7,76.906090063
11,39023,Clark,81.0,78.0,53.0,19.290545862,7.1571647234,2206:1,5783.0,47.0,4.5582326128,11.222010003,11.6,73.845973307
12,39025,Clermont,30.0,41.0,23.0,15.066354198,5.8802287791,1524:1,4828.0,51.0,4.0952786854,7.1493629232,12.0,77.621987968
13,39027,Clinton,60.0,38.0,46.0,16.664871997,7.0091667404,1313:1,6382.0,46.0,5.2550408408,9.5217691447,11.3,75.599148316
14,39029,Columbiana,52.0,71.0,57.0,17.482615198,7.6913366743,2343:1,5529.0,50.0,5.1734024253,15.716406182,11.5,76.259465708
15,39031,Coshocton,50.0,84.0,75.0,19.15616945,8.7711502307,2811:1,4799.0,43.0,6.1561978877,12.04028021,11.3,76.951298189
16,39033,Crawford,62.0,54.0,56.0,16.884516819,6.9510703364,2609:1,4630.0,42.0,5.1936715767,17.726249221,11.4,75.443514748
17,39035,Cuyahoga,75.0,68.0,9.0,18.480357175,6.6112558837,900:1,5871.0,49.0,5.2350804291,9.3711404117,13.2,76.852134607
18,39037,Darke,35.0,34.0,48.0,16.364540924,7.3944856326,1909:1,3642.0,40.0,3.9164794298,17.463520646,12.2,76.678206341
19,39039,Defiance,16.0,22.0,31.0,15.867334277,6.7487668638,1817:1,5307.0,49.0,4.4190665343,16.511164692,12.2,77.765334993
20,39041,Delaware,1.0,1.0,1.0,12.570631664,4.3558866746,701:1,2801.0,57.0,3.3647100365,8.3805571075,11.9,82.436642111
21,39043,Erie,56.0,33.0,35.0,17.230079753,6.3217799719,1313:1,6314.0,48.0,5.6042588129,13.633265167,11.1,76.26341367
