,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,40001,Adair,72.0,77.0,75.0,28.544651748,24.535132467,2739:1,10860.0,48.0,4.1712673292,8.2158017253,9.8,73.204924993
1,40003,Alfalfa,1.0,21.0,44.0,16.744819497,18.196202532,2954:1,3927.0,33.0,2.1768707483,22.007787371,8.4,79.405877339
2,40005,Atoka,50.0,72.0,73.0,22.147475196,20.742168675,6944:1,9618.0,39.0,4.1202890061,12.241664866,9.5,75.25864151
3,40007,Beaver,12.0,6.0,62.0,19.560277549,20.415388246,5315:1,4848.0,38.0,2.0283975659,22.577610536,7.0,78.251289984
4,40009,Beckham,44.0,34.0,17.0,18.536667726,17.604345003,1362:1,4263.0,50.0,2.6074700493,17.895654568,7.8,73.774204731
5,40011,Blaine,60.0,23.0,29.0,20.018292637,17.278589288,3166:1,3810.0,44.0,2.0325203252,22.109917877,8.4,73.208046731
6,40013,Bryan,38.0,57.0,55.0,19.567772057,19.633571332,2438:1,9131.0,49.0,3.1331841341,9.931129774,9.9,75.482947298
7,40015,Caddo,64.0,67.0,64.0,22.367835862,20.343071563,5835:1,5880.0,44.0,3.5652815343,13.711308402,8.9,72.804316798
8,40017,Canadian,2.0,4.0,4.0,14.528427312,12.775407341,2544:1,3578.0,50.0,2.7806699707,6.8607692638,9.7,78.621820184
9,40019,Carter,48.0,63.0,23.0,22.468645634,17.773810721,1853:1,4871.0,45.0,3.5125739311,12.243203984,9.5,74.564171443
10,40021,Cherokee,59.0,70.0,43.0,25.34320743,24.405745519,1880:1,3840.0,49.0,4.2296233241,6.9546719031,10.0,75.345013424
11,40023,Choctaw,77.0,75.0,72.0,27.696388,20.98363465,2477:1,10385.0,32.0,4.9687282835,11.43779856,9.6,72.724923896
12,40025,Cimarron,26.0,10.0,70.0,21.655833327,25.094577554,,5039.0,21.0,1.8759018759,27.855153203,5.6,79.695245074
13,40027,Cleveland,3.0,8.0,3.0,15.515810381,12.740615105,1997:1,3322.0,52.0,2.8768068007,7.9029899049,10.1,79.104935585
14,40029,Coal,69.0,51.0,77.0,21.217851657,21.342819031,5642:1,12894.0,30.0,3.8191395961,12.406947891,9.3,72.73501446
15,40031,Comanche,28.0,55.0,6.0,22.013634763,14.95827136,1253:1,4583.0,42.0,3.9080838447,9.1338479009,8.9,75.961584828
16,40033,Cotton,56.0,62.0,36.0,19.316589881,18.121946038,5823:1,4340.0,44.0,3.1295487627,10.303967027,8.6,73.87494092
17,40035,Craig,46.0,56.0,35.0,22.099402871,19.258373206,2388:1,5509.0,48.0,3.45053148,15.355622252,9.8,73.876951906
18,40037,Creek,34.0,36.0,38.0,18.972906726,16.16149576,4218:1,6457.0,50.0,3.8073554059,10.878054223,9.8,74.631576183
19,40039,Custer,19.0,43.0,27.0,19.909214994,20.303966809,1800:1,5259.0,50.0,2.4149356442,17.361111111,8.2,75.361265618
20,40041,Delaware,45.0,59.0,48.0,22.107340056,23.904156971,2130:1,3402.0,50.0,3.9025740382,9.6239613164,10.0,76.130962085
21,40043,Dewey,23.0,38.0,45.0,19.764777176,20.241149307,2439:1,5362.0,48.0,1.9078473722,20.500205002,7.7,75.015672715
22,40045,Ellis,22.0,35.0,20.0,19.358704469,19.293125811,1983:1,3870.0,51.0,2.1748980517,27.735753908,7.2,74.39902847
23,40047,Garfield,17.0,37.0,15.0,18.495676102,18.021956285,1866:1,5318.0,54.0,3.0442736919,14.452509703,9.2,75.990048751
24,40049,Garvin,62.0,53.0,41.0,22.20799663,18.654973337,3101:1,4675.0,50.0,3.2808811959,12.540757462,9.5,73.530989494
25,40051,Grady,20.0,28.0,18.0,17.639306379,14.636674385,2747:1,4540.0,44.0,3.0541609615,12.37646288,9.6,76.133605449
26,40053,Grant,24.0,2.0,24.0,15.516721436,16.290653384,,4895.0,42.0,2.0787746171,25.028441411,8.8,73.896828721
27,40055,Greer,15.0,46.0,34.0,21.864636277,13.797740721,,8577.0,40.0,3.9714867617,20.537395174,7.8,77.155472272
28,40057,Harmon,76.0,3.0,76.0,22.216259369,24.20503085,2689:1,14776.0,49.0,2.9166666667,14.875418371,7.8,74.098078837
29,40059,Harper,37.0,1.0,71.0,19.18093537,25.868725869,3808:1,4421.0,45.0,2.2777777778,21.008403361,7.4,77.811329493
30,40061,Haskell,25.0,44.0,68.0,21.356823925,21.033973412,3191:1,6900.0,38.0,5.0923732828,9.4021781713,9.9,75.507999304
31,40063,Hughes,51.0,68.0,63.0,22.406944566,20.413381632,3326:1,5730.0,44.0,4.1744316064,13.531799729,9.4,72.943871853
32,40065,Jackson,31.0,29.0,25.0,20.453888499,16.589750985,1933:1,5551.0,41.0,3.0492353599,11.542288557,8.2,75.887111295
33,40067,Jefferson,52.0,20.0,66.0,21.866912575,19.995812395,3092:1,5019.0,31.0,3.4241245136,11.321365033,8.9,74.718709424
34,40069,Johnston,75.0,42.0,60.0,22.027813876,19.852517571,3687:1,7895.0,45.0,2.8952810679,13.56238698,9.4,72.57880978
35,40071,Kay,47.0,45.0,21.0,20.430837948,15.629341878,2475:1,4231.0,46.0,4.6658591816,16.163793103,9.4,74.34864201
36,40073,Kingfisher,7.0,14.0,11.0,17.573710465,17.599085366,1959:1,4695.0,53.0,2.103960396,15.316867701,9.0,76.969611952
37,40075,Kiowa,57.0,48.0,54.0,22.817189608,17.39565466,2964:1,7091.0,50.0,4.2257515598,19.116158777,8.2,72.851595726
38,40077,Latimer,54.0,49.0,57.0,22.65447839,19.473819964,5206:1,5203.0,39.0,5.9956508232,13.44731534,9.3,74.119348058
39,40079,Le Flore,68.0,66.0,67.0,22.264852526,20.186484911,3315:1,7344.0,38.0,4.6025104603,8.0432728077,10.5,72.942512859
40,40081,Lincoln,41.0,22.0,32.0,19.10299959,18.683012259,3905:1,3521.0,50.0,3.5042627884,9.9595925104,9.4,75.188964299
41,40083,Logan,4.0,19.0,16.0,18.586131671,13.490324936,46784:1,3301.0,46.0,3.0200883706,8.9774281806,9.4,79.715150815
42,40085,Love,55.0,5.0,56.0,19.890658588,17.525900345,3345:1,5242.0,42.0,2.1237017517,10.962726729,9.3,74.539550157
43,40087,McClain,8.0,9.0,13.0,16.529295746,14.730546121,2186:1,4667.0,50.0,2.7646210873,11.437866965,9.8,75.924916719
44,40089,McCurtain,74.0,73.0,61.0,25.14086651,21.323612738,2187:1,6301.0,34.0,5.4605587221,10.668129724,9.9,72.807421207
45,40091,McIntosh,63.0,47.0,51.0,22.623646423,20.726700424,3290:1,4974.0,47.0,5.8557902403,6.5849458008,9.7,73.904415449
46,40093,Major,42.0,13.0,37.0,16.523142944,19.192913386,2564:1,2923.0,39.0,2.1223470662,22.098011179,8.3,74.066133847
47,40095,Marshall,27.0,32.0,69.0,21.302115014,22.855788975,3287:1,8170.0,49.0,3.7583892617,12.778386272,9.6,77.07335517
48,40097,Mayes,49.0,54.0,39.0,21.808612869,19.499727784,2728:1,5726.0,53.0,3.3817406317,12.951785147,10.2,74.601508796
49,40099,Murray,33.0,24.0,53.0,19.27114899,17.405493609,2771:1,6063.0,44.0,2.8659003831,8.6623835992,9.3,74.373310672
50,40101,Muskogee,65.0,71.0,31.0,23.692750551,19.126635951,2032:1,5853.0,46.0,4.0392639715,10.421793127,10.2,72.673693074
51,40103,Noble,21.0,17.0,8.0,17.009741085,15.063961182,2819:1,5053.0,62.0,2.5949146639,15.074931276,9.2,74.92620324
52,40105,Nowata,39.0,41.0,59.0,19.76338503,20.641306998,5153:1,5346.0,45.0,4.187351608,10.673394139,9.9,74.75403218
53,40107,Okfuskee,73.0,76.0,52.0,24.614247238,19.789265723,,4645.0,49.0,4.7768557973,7.413509061,9.4,71.19085504
54,40109,Oklahoma,29.0,27.0,2.0,19.21280447,16.082044473,1173:1,4125.0,48.0,3.2876569583,10.888905246,10.0,76.087175011
55,40111,Okmulgee,67.0,65.0,42.0,23.307107758,16.497370742,2781:1,5548.0,47.0,4.8749842945,12.586694066,9.7,72.945166956
56,40113,Osage,14.0,25.0,47.0,20.208998775,16.658952928,5248:1,3641.0,36.0,4.273791251,8.2569390045,10.2,78.973908023
57,40115,Ottawa,66.0,69.0,28.0,23.623405391,19.51189996,1957:1,5013.0,47.0,3.4609771353,14.690853347,9.9,73.035611656
58,40117,Pawnee,40.0,52.0,33.0,20.034950803,17.645283019,4118:1,5165.0,50.0,4.1289974362,12.141816416,9.4,75.236670272
59,40119,Payne,11.0,39.0,7.0,19.937979594,16.353336653,1990:1,4088.0,56.0,2.9328165375,12.626417407,9.5,77.941791761
60,40121,Pittsburg,58.0,61.0,26.0,20.656584258,19.780252679,2104:1,4680.0,45.0,3.8849646821,11.54263987,9.5,73.285323982
61,40123,Pontotoc,43.0,40.0,9.0,20.438180719,17.674342642,1529:1,3800.0,47.0,3.0767581475,14.650481373,9.5,74.692468758
62,40125,Pottawatomie,36.0,58.0,12.0,18.993652516,16.704639602,2408:1,3383.0,50.0,3.6874693477,10.799435106,9.5,73.866794261
63,40127,Pushmataha,71.0,60.0,74.0,23.145007218,20.981308411,5587:1,7658.0,25.0,5.158290901,14.320236284,9.4,74.954427046
64,40129,Roger Mills,30.0,18.0,30.0,17.792783584,18.470467736,1858:1,2461.0,31.0,2.3948908994,16.146393972,7.2,77.916948566
65,40131,Rogers,5.0,11.0,14.0,17.280207093,13.53993535,2690:1,5410.0,51.0,3.310859082,9.5140195092,10.5,77.319789263
66,40133,Seminole,61.0,64.0,50.0,23.993340139,19.675253082,2488:1,4659.0,44.0,4.7403825941,11.656885602,9.4,72.725955814
67,40135,Sequoyah,70.0,74.0,58.0,25.453950169,20.28100367,3438:1,6200.0,44.0,4.3093990004,6.5451372055,10.2,73.284454312
68,40137,Stephens,35.0,16.0,22.0,18.651409383,16.426712923,1806:1,5090.0,41.0,3.9418975107,16.846672205,9.1,75.338891766
69,40139,Texas,10.0,12.0,65.0,23.657790771,21.613445378,2090:1,4639.0,38.0,2.7556041553,13.875598086,7.2,75.501698989
70,40141,Tillman,53.0,50.0,46.0,23.967321435,19.890864284,3717:1,5229.0,50.0,3.7359098229,13.453518095,8.4,74.768365233
71,40143,Tulsa,18.0,31.0,1.0,16.634443964,15.385950425,910:1,5099.0,52.0,3.3428562556,11.620602043,9.3,76.633546848
72,40145,Wagoner,6.0,30.0,40.0,18.773676469,15.635874005,3025:1,6697.0,46.0,3.3394180178,4.576833594,10.5,79.170056062
73,40147,Washington,9.0,26.0,5.0,18.40884058,16.414062312,2258:1,2801.0,57.0,3.8976275311,14.056843565,10.0,76.850490448
74,40149,Washita,32.0,7.0,49.0,17.245000488,17.516064702,3711:1,4829.0,49.0,3.0637488107,17.064846416,8.2,73.771969223
75,40151,Woods,16.0,33.0,10.0,17.636670624,14.073963168,1806:1,4900.0,37.0,2.1588946459,17.716753405,7.9,76.692879543
76,40153,Woodward,13.0,15.0,19.0,16.434601903,17.713295799,2046:1,4211.0,45.0,2.7568382511,12.708343516,7.5,75.957981837
