,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,41001,Baker,24.0,19.0,4.0,14.818880496,8.2404563405,1147:1,926.0,35.0,5.4902522936,17.441136165,6.8,78.215058376
1,41003,Benton,2.0,4.0,1.0,13.571276098,6.7846935094,875:1,1715.0,54.0,3.1750956666,12.204373784,8.3,82.797809288
2,41005,Clackamas,4.0,3.0,3.0,11.788931424,6.2736271533,1115:1,2601.0,46.0,3.7662444406,9.038655397,9.2,80.886105235
3,41007,Clatsop,17.0,14.0,19.0,14.685385116,8.8759754275,1507:1,3597.0,42.0,4.1098014888,13.271400133,6.3,78.568336414
4,41009,Columbia,8.0,16.0,17.0,13.554060102,7.0035861021,3046:1,3654.0,36.0,5.0805757166,6.9522227801,7.3,79.325407736
5,41011,Coos,27.0,31.0,25.0,16.32785302,9.1258862182,1229:1,4350.0,46.0,5.4157218443,12.521913348,8.0,76.686442221
6,41013,Crook,22.0,32.0,16.0,15.984554553,8.5589519651,3854:1,2519.0,41.0,5.9805579036,11.244215716,7.8,78.523684962
7,41015,Curry,19.0,12.0,24.0,16.010216228,9.2971739276,1511:1,2528.0,34.0,6.1354492624,9.2637522608,8.0,78.138031909
8,41017,Deschutes,5.0,2.0,2.0,12.975753235,7.6952822892,939:1,2198.0,52.0,4.2152945988,10.327759197,8.3,81.453271045
9,41019,Douglas,29.0,18.0,10.0,15.127604469,7.7435884679,1658:1,2517.0,35.0,5.4017337301,10.419999086,8.8,77.155988909
10,41021,Gilliam,25.0,13.0,12.0,13.857495112,7.2334079045,1855:0,1024.0,20.0,3.9099526066,16.172506739,7.0,81.587394331
11,41023,Grant,26.0,8.0,28.0,14.092217875,8.8317944601,1027:1,2897.0,19.0,7.2604065828,9.735744089,6.0,79.006566728
12,41025,Harney,28.0,24.0,22.0,15.663211336,9.799181852,1458:1,2260.0,32.0,6.2042727539,10.975442448,6.6,78.050150154
13,41027,Hood River,3.0,6.0,7.0,15.850344761,11.165319917,477:1,2395.0,43.0,3.3372325053,13.688668349,6.1,81.314421933
14,41029,Jackson,18.0,25.0,11.0,15.843661515,9.3412378411,1087:1,3165.0,43.0,4.7946316925,9.472178923,8.6,78.975339936
15,41031,Jefferson,34.0,35.0,35.0,19.612472177,13.077051275,2376:1,2436.0,42.0,5.4584513231,7.1554844684,7.6,78.304588308
16,41033,Josephine,33.0,29.0,15.0,16.073740836,8.4782470221,1270:1,3621.0,38.0,5.5387013276,8.1063553826,7.9,76.593296356
17,41035,Klamath,35.0,30.0,27.0,17.605034992,10.554669571,1046:1,3484.0,43.0,6.4307264653,10.159109584,7.7,76.068464443
18,41037,Lake,32.0,33.0,33.0,17.687773261,10.266715382,1573:1,2490.0,25.0,5.7208237986,15.26135063,6.5,77.489993855
19,41039,Lane,16.0,10.0,9.0,15.112882309,8.2108777017,1143:1,3427.0,49.0,4.4921627852,9.5797709394,9.9,79.37971517
20,41041,Lincoln,31.0,21.0,32.0,16.37081515,10.664708254,1882:1,3063.0,35.0,4.8597690313,10.220768602,7.1,78.049712983
21,41043,Linn,11.0,27.0,8.0,14.170935764,8.0303572138,1525:1,2547.0,47.0,4.7326262575,11.275760314,8.8,78.122963501
22,41045,Malheur,30.0,34.0,23.0,20.872134031,10.150616157,3387:1,2661.0,39.0,4.6025774434,9.186351706,9.0,77.718521593
23,41047,Marion,15.0,22.0,21.0,18.191023391,10.194258518,1440:1,3227.0,41.0,4.3049061085,10.255328376,9.1,79.38581179
24,41049,Morrow,13.0,23.0,31.0,18.138016722,11.237414745,2792:1,2387.0,35.0,4.3265875785,8.9557585527,7.9,80.858316137
25,41051,Multnomah,9.0,20.0,6.0,14.781153759,8.2280863286,686:1,3072.0,46.0,3.6864775896,11.219050096,8.4,79.716516775
26,41053,Polk,6.0,9.0,13.0,14.884180474,8.7410616266,1744:1,2596.0,43.0,4.3733467691,8.2441215829,8.5,80.51667405
27,41055,Sherman,14.0,17.0,34.0,13.552130205,7.0336391437,1758:0,,25.0,4.1202672606,28.441410694,6.7,81.385952731
28,41057,Tillamook,10.0,7.0,30.0,14.139095322,10.495927415,1405:1,2595.0,24.0,4.4277641899,11.614837018,6.4,79.156467778
29,41059,Umatilla,23.0,28.0,29.0,18.045812634,10.495362667,2200:1,2870.0,40.0,4.9411892538,10.391634734,8.8,78.216990615
30,41061,Union,21.0,26.0,18.0,15.698398488,7.8193131155,1380:1,3296.0,30.0,5.3958944282,16.779803219,6.4,79.037053266
31,41063,Wallowa,12.0,5.0,26.0,13.454350605,8.2882882883,783:1,4086.0,30.0,6.1181434599,11.345908382,6.7,81.177883926
32,41065,Wasco,20.0,15.0,20.0,15.337032813,11.04027818,1149:1,2712.0,35.0,4.3185893604,10.9694746,6.9,77.176137984
33,41067,Washington,1.0,1.0,5.0,12.22204583,7.1683442302,1103:1,2375.0,47.0,3.4897418887,7.1821881733,8.8,82.585081544
34,41069,Wheeler,NR,NR,NR,16.757642425,10.969976905,1357:0,815.0,21.0,3.4578146611,0.0,5.8,
35,41071,Yamhill,7.0,11.0,14.0,13.736648036,7.9943428339,1532:1,3525.0,45.0,3.7616462475,9.4587692249,8.5,79.413425936
