,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,45001,Abbeville,20.0,20.0,11.0,19.895035607,12.904608789,1766:1,2020.0,29.0,3.9769337841,11.730442521,10.4,75.909621205
1,45003,Aiken,15.0,8.0,22.0,17.706604007,13.428511849,3003:1,4932.0,51.0,3.3457751812,9.9893565784,11.3,76.690939591
2,45005,Allendale,41.0,46.0,25.0,26.677644363,11.830614599,1286:1,5330.0,24.0,5.802919708,5.5543212619,10.2,72.759130636
3,45007,Anderson,16.0,19.0,16.0,16.188643285,13.339790274,1506:1,5855.0,52.0,3.2563072114,13.030856464,11.0,75.885894749
4,45009,Bamberg,37.0,29.0,30.0,22.696039386,13.185982809,2876:1,4602.0,25.0,6.5130260521,18.079410333,10.2,73.393864309
5,45011,Barnwell,34.0,39.0,28.0,22.072298052,12.656386383,5336:1,4562.0,35.0,4.7824523553,14.991801359,10.4,73.455137083
6,45013,Beaufort,1.0,1.0,10.0,12.364059401,15.348488974,1426:1,4187.0,52.0,3.2244395302,8.8308963627,10.1,82.624217739
7,45015,Berkeley,6.0,10.0,13.0,16.562800423,11.780302003,3205:1,3907.0,47.0,3.0347978285,6.6074140692,9.9,78.607196065
8,45017,Calhoun,24.0,18.0,34.0,19.352866556,12.589199189,4901:1,4793.0,30.0,4.2460615154,12.921653972,10.2,75.620521476
9,45019,Charleston,5.0,4.0,1.0,14.893294252,13.538923377,823:1,3779.0,50.0,2.7719480217,11.209701124,8.9,79.106839262
10,45021,Cherokee,27.0,43.0,27.0,19.74734721,13.803555689,2483:1,5404.0,48.0,3.6290960899,16.636021364,10.5,74.297307416
11,45023,Chester,29.0,35.0,35.0,20.03129596,12.162891046,4038:1,6669.0,47.0,4.818824237,15.479396923,10.3,73.592938366
12,45025,Chesterfield,32.0,34.0,40.0,21.833418505,14.799785004,3282:1,6475.0,45.0,3.257106414,12.622965091,10.0,74.179772245
13,45027,Clarendon,26.0,28.0,38.0,22.001289983,14.472128206,3096:1,5472.0,33.0,4.6939751355,11.745015709,10.1,75.809277757
14,45029,Colleton,40.0,42.0,37.0,21.720487214,13.594284564,1980:1,6077.0,33.0,4.0059701493,10.369306852,10.0,71.988392096
15,45031,Darlington,38.0,30.0,36.0,23.455379449,12.266716684,2038:1,7384.0,37.0,4.078308848,13.08258381,10.3,73.365239854
16,45033,Dillon,43.0,45.0,42.0,24.224177116,15.824606283,1917:1,5770.0,42.0,4.7709022201,7.8262570925,10.1,72.709600744
17,45035,Dorchester,4.0,12.0,18.0,16.386607352,11.319826101,2698:1,5053.0,44.0,3.02223051,6.1359104157,10.0,77.753271086
18,45037,Edgefield,7.0,21.0,29.0,18.941104075,13.257006683,2966:1,5034.0,47.0,3.4731448093,9.7403813734,10.3,79.816560495
19,45039,Fairfield,36.0,37.0,19.0,22.944390714,11.693112666,2512:1,3405.0,29.0,6.1516452074,13.712566904,10.1,73.771041923
20,45041,Florence,31.0,26.0,20.0,19.754710755,11.472648284,990:1,6613.0,43.0,3.6547669556,12.196354084,10.2,74.413099144
21,45043,Georgetown,23.0,7.0,15.0,18.538809916,13.232845894,1621:1,3643.0,47.0,4.5376175549,16.394240914,9.4,76.129197037
22,45045,Greenville,2.0,2.0,2.0,15.401341881,13.116678972,953:1,3035.0,54.0,2.9325560358,12.370841119,9.5,78.006418283
23,45047,Greenwood,22.0,25.0,5.0,19.04520344,14.445250181,951:1,4430.0,50.0,3.6473476772,13.502949328,10.5,75.98464512
24,45049,Hampton,33.0,38.0,43.0,22.180577061,12.289620114,3267:1,6265.0,26.0,3.5098372601,10.713192531,10.2,73.98070018
25,45051,Horry,19.0,13.0,31.0,17.855810359,17.444710623,1692:1,4347.0,48.0,4.1893578787,8.9417525835,9.8,76.805169292
26,45053,Jasper,25.0,33.0,46.0,23.532815456,20.395956973,4065:1,6228.0,37.0,3.0211233011,7.027900766,10.2,78.201075859
27,45055,Kershaw,13.0,16.0,8.0,16.105885701,11.679752961,1626:1,4287.0,50.0,3.5464915313,11.532074543,10.3,76.654703029
28,45057,Lancaster,14.0,5.0,33.0,18.023961657,13.265576422,2204:1,6048.0,48.0,3.7933388969,12.425715829,10.8,78.012571326
29,45059,Laurens,30.0,31.0,23.0,21.31371985,14.138310383,1807:1,3507.0,47.0,3.5870985029,12.266634753,10.6,74.096150282
30,45061,Lee,46.0,44.0,41.0,27.616556968,11.826754035,5783:1,7364.0,38.0,4.5854843608,8.0691642651,10.2,71.623280565
31,45063,Lexington,8.0,11.0,6.0,16.666464918,12.059425267,1661:1,3932.0,49.0,2.8679065979,11.285361372,10.0,77.903377992
32,45065,McCormick,39.0,9.0,4.0,20.014284623,12.010642341,2386:1,3318.0,48.0,3.5525543159,12.572027239,10.5,73.883676863
33,45067,Marion,44.0,41.0,44.0,26.035783578,13.609777742,2407:1,6837.0,31.0,5.5079181151,9.2672482664,9.9,72.589547628
34,45069,Marlboro,42.0,40.0,39.0,25.918764105,14.500598553,5365:1,5680.0,33.0,5.1108441629,5.5917986952,10.3,72.263609641
35,45071,Newberry,17.0,23.0,21.0,17.771591863,14.752894851,1540:1,4065.0,51.0,3.1357204117,12.731240906,10.2,77.293393633
36,45073,Oconee,10.0,14.0,12.0,14.561356907,15.107402204,1885:1,4395.0,52.0,3.3209169054,14.753461887,10.2,76.666013366
37,45075,Orangeburg,35.0,27.0,26.0,22.778461074,13.91691218,2302:1,4304.0,33.0,5.7537499276,13.832365449,10.5,74.299295255
38,45077,Pickens,9.0,6.0,7.0,16.633882835,13.050794962,1625:1,4109.0,51.0,3.3663929473,13.848508653,10.4,77.005576398
39,45079,Richland,11.0,17.0,3.0,17.430244553,10.990800638,1163:1,3796.0,45.0,3.4377728593,12.050768722,9.8,77.423955397
40,45081,Saluda,12.0,22.0,45.0,22.344502173,18.609481916,10226:1,5427.0,42.0,3.0994550409,12.223743399,10.3,78.998067624
41,45083,Spartanburg,18.0,15.0,9.0,17.065961254,12.926273078,1461:1,4255.0,48.0,3.1129141312,13.068104049,9.5,75.872757943
42,45085,Sumter,21.0,24.0,24.0,22.275342544,12.764410594,1979:1,5812.0,47.0,4.0253853128,10.388686627,10.5,75.420333865
43,45087,Union,28.0,32.0,17.0,20.336813723,12.14676179,2503:1,4741.0,45.0,4.1443619409,17.794240476,10.2,73.647346845
44,45089,Williamsburg,45.0,36.0,32.0,25.177583207,11.982154238,6227:1,5583.0,31.0,5.4335448186,8.9936723091,9.8,72.923255026
45,45091,York,3.0,3.0,14.0,14.167778864,11.050547937,2277:1,5072.0,52.0,3.2584728461,11.33467698,11.0,78.001319187
