,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,46003,Aurora,25.0,24.0,39.0,9.7010358431,15.454983149,2738:1,4502.0,39.0,2.8901734104,14.609203798,6.2,82.177097659
1,46005,Beadle,42.0,42.0,34.0,12.979679951,13.46808221,1651:1,7637.0,53.0,2.5948103792,18.72556039,6.2,78.876076689
2,46007,Bennett,53.0,53.0,59.0,20.514142082,21.7750258,,7283.0,7.0,4.469273743,11.580775912,4.8,69.07406829
3,46009,Bon Homme,6.0,44.0,28.0,11.834727371,11.069593648,1746:1,5757.0,33.0,2.5364836692,21.47766323,7.3,80.769244909
4,46011,Brookings,4.0,7.0,10.0,10.509990651,8.9133719002,1713:1,4325.0,59.0,2.8287501972,16.347978397,6.9,81.8754326
5,46013,Brown,13.0,14.0,11.0,11.857167757,10.67093253,1567:1,4918.0,52.0,2.8289694127,16.335698606,5.9,80.623084161
6,46015,Brule,15.0,17.0,13.0,11.980890761,18.075117371,664:1,2679.0,42.0,2.7208201893,15.060240964,6.0,80.787819016
7,46017,Buffalo,61.0,61.0,45.0,29.565878174,19.447576099,1999:0,2713.0,37.0,5.9238363893,0.0,5.8,61.625628973
8,46019,Butte,38.0,33.0,27.0,12.859862619,11.201197455,5054:1,2418.0,32.0,3.2673267327,9.8941327793,5.1,78.974129223
9,46021,Campbell,30.0,21.0,32.0,9.5650749518,11.420059583,1379:0,4313.0,33.0,3.9141414141,21.754894851,5.2,
10,46023,Charles Mix,50.0,50.0,46.0,17.312495709,17.063921993,1571:1,5669.0,27.0,3.2283057851,15.910055155,6.8,74.94693942
11,46025,Clark,36.0,19.0,24.0,11.872961083,14.629888268,,3303.0,33.0,3.9640591966,13.631406761,5.6,79.86371075
12,46027,Clay,14.0,36.0,14.0,13.261360674,10.515564202,1554:1,3911.0,60.0,2.8827586207,12.866333095,8.2,78.620700834
13,46029,Codington,20.0,30.0,5.0,12.101966573,8.5737662561,1041:1,5076.0,58.0,3.0346444387,17.794227553,5.4,81.024117621
14,46031,Corson,59.0,57.0,60.0,27.241436766,21.689434067,,7136.0,8.0,4.1334300218,7.1377587438,5.1,65.692376603
15,46033,Custer,37.0,8.0,22.0,11.029399027,11.835788777,2173:1,2226.0,41.0,4.0236978524,10.355540214,3.8,80.025702996
16,46035,Davison,21.0,20.0,4.0,12.004603249,8.4497071884,1407:1,3471.0,61.0,2.6373226628,14.210312627,6.8,79.006921843
17,46037,Day,41.0,45.0,49.0,13.237596062,14.453699167,2761:1,6207.0,21.0,4.2454513022,19.923926825,5.5,77.108285599
18,46039,Deuel,8.0,40.0,44.0,10.651798441,9.6686746988,2141:1,9565.0,48.0,4.4465030107,18.687222612,5.7,81.195980132
19,46041,Dewey,56.0,58.0,57.0,24.482546052,19.894262777,5835:1,5589.0,26.0,8.8115680072,13.710368466,5.1,69.587324809
20,46043,Douglas,NR,NR,NR,10.480051248,13.530751708,1466:1,4670.0,42.0,2.6649746193,20.470829069,6.5,83.712352421
21,46045,Edmunds,29.0,22.0,35.0,9.6832589666,11.764705882,1960:1,6579.0,42.0,2.6666666667,17.861699413,5.7,81.254372359
22,46047,Fall River,48.0,26.0,26.0,12.972361902,10.952996981,2229:1,3378.0,20.0,3.8525406842,17.945266936,3.7,75.554436121
23,46049,Faulk,46.0,47.0,43.0,10.890021679,9.7984322508,2329:1,7871.0,22.0,3.0054644809,12.881064835,5.5,79.944973676
24,46051,Grant,2.0,3.0,30.0,10.588121142,10.326867816,1009:1,7956.0,35.0,3.1692515172,28.324599915,5.5,79.918550543
25,46053,Gregory,24.0,29.0,55.0,13.185065421,15.060625399,1409:1,11398.0,32.0,3.271484375,16.564126834,6.0,79.105859186
26,46055,Haakon,45.0,35.0,38.0,13.214986584,13.174061433,972:1,5734.0,19.0,2.5925925926,15.440041173,4.9,78.76995656
27,46057,Hamlin,1.0,15.0,33.0,9.7273783292,10.776035384,5948:1,6208.0,41.0,3.0835646007,8.4061869536,5.7,79.348487684
28,46059,Hand,26.0,9.0,23.0,9.7101350839,11.287693562,1639:1,6292.0,57.0,2.2988505747,21.361000915,5.7,81.086399899
29,46061,Hanson,19.0,11.0,12.0,10.359586934,11.11878453,,2177.0,49.0,4.614518852,11.685655857,6.8,78.317095001
30,46063,Harding,NR,NR,NR,11.283191225,12.97029703,1242:0,4530.0,33.0,2.462380301,0.0,4.9,
31,46065,Hughes,17.0,37.0,3.0,11.529688236,9.6399943749,1262:1,2520.0,56.0,2.5783619818,28.869013925,5.6,80.019027584
32,46067,Hutchinson,12.0,4.0,40.0,11.371258959,12.215099715,1226:1,7019.0,29.0,2.8491620112,25.822234303,7.3,79.711853136
33,46069,Hyde,NR,NR,NR,11.585499566,12.385786802,1318:0,4212.0,23.0,3.0523255814,30.349013657,5.6,
34,46071,Jackson,54.0,54.0,54.0,23.144681958,24.936108069,,2721.0,11.0,4.9295774648,0.0,4.8,71.583508162
35,46073,Jerauld,33.0,1.0,36.0,10.25135394,12.31292517,1014:1,7750.0,22.0,2.5,19.723865878,6.1,80.824417511
36,46075,Jones,NR,NR,NR,10.725696159,16.315049226,936:0,1386.0,16.0,2.6978417266,0.0,5.2,
37,46077,Kingsbury,31.0,16.0,18.0,10.547644731,9.8451037018,2476:1,4121.0,42.0,2.9158878505,22.213247173,6.2,79.621763818
