,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,47001,Anderson,34.0,24.0,8.0,19.095370564,10.280744684,1860:1,4916.0,56.0,3.756964093,14.949447264,10.3,75.534837529
1,47003,Bedford,44.0,73.0,75.0,21.939146072,14.395969823,2830:1,5695.0,44.0,3.749028749,8.105243469,10.5,74.291837298
2,47005,Benton,91.0,67.0,76.0,23.229258111,12.399034058,5329:1,5854.0,47.0,4.9065420561,12.510947079,10.0,71.714541351
3,47007,Bledsoe,11.0,90.0,89.0,22.527819233,15.081132676,14717:1,5664.0,39.0,5.8099000697,4.0769178501,9.4,77.996672967
4,47009,Blount,13.0,26.0,9.0,19.823622982,10.248522548,1444:1,5193.0,54.0,3.2260136491,10.544220305,10.1,77.020697659
5,47011,Bradley,16.0,53.0,48.0,21.540695237,13.351092543,1852:1,5610.0,45.0,3.587488559,13.925729443,10.7,76.797681353
6,47013,Campbell,90.0,66.0,72.0,21.537729164,12.427316191,2087:1,7669.0,42.0,4.7586767896,10.341000807,9.7,71.685415609
7,47015,Cannon,65.0,64.0,71.0,19.657211698,11.988887924,4739:1,7375.0,45.0,3.1564070352,8.4411930219,9.7,74.389786086
8,47017,Carroll,30.0,43.0,35.0,21.006156532,10.856710346,1990:1,6181.0,52.0,4.9497487437,11.844938981,10.2,73.969196288
9,47019,Carter,57.0,86.0,46.0,23.798783136,12.009567177,2690:1,5715.0,44.0,4.1329889176,13.808242459,9.4,75.79178445
10,47021,Cheatham,23.0,8.0,32.0,17.521443124,10.193045703,1833:1,5212.0,48.0,2.7354489958,8.6784031738,10.6,74.458190942
11,47023,Chester,6.0,19.0,68.0,19.515190387,11.841605229,3424:1,6816.0,46.0,3.7758252197,9.3463403236,9.7,76.959702284
12,47025,Claiborne,77.0,28.0,42.0,22.009813086,11.727705359,1664:1,4486.0,41.0,4.2318661836,6.0109462495,10.0,73.320926318
13,47027,Clay,95.0,59.0,93.0,24.773694959,14.634571777,2568:1,8499.0,46.0,4.9702485124,5.192782033,9.9,73.051397193
14,47029,Cocke,93.0,89.0,39.0,24.902374802,12.268719283,1975:1,5150.0,46.0,4.6878157203,10.124873439,9.6,71.728556334
15,47031,Coffee,41.0,52.0,26.0,20.341416817,10.956807241,1487:1,7144.0,49.0,3.4217548266,10.35723371,10.2,74.335323869
16,47033,Crockett,58.0,81.0,85.0,24.509711154,14.324950648,,6285.0,43.0,3.8609488531,17.27354384,10.1,73.772094021
17,47035,Cumberland,31.0,15.0,15.0,21.153032901,12.630131605,1477:1,3918.0,49.0,4.358073363,8.9711906293,9.3,76.792760295
18,47037,Davidson,7.0,4.0,30.0,16.755521355,14.189949107,1059:1,5642.0,49.0,2.6320434522,13.396157357,10.6,76.981374495
19,47039,Decatur,32.0,45.0,66.0,22.829012002,12.130044843,2938:1,6903.0,47.0,4.7739754964,6.8079312399,9.7,75.869221306
20,47041,DeKalb,75.0,41.0,56.0,21.642022979,14.324188901,2482:1,4083.0,52.0,4.4372574386,8.5633689301,9.7,73.832575682
21,47043,Dickson,28.0,11.0,38.0,19.145919265,10.880289658,2782:1,6729.0,50.0,3.0201470084,8.5141808412,10.2,74.578853932
22,47045,Dyer,78.0,87.0,50.0,20.921690203,9.8306308672,2341:1,8305.0,49.0,4.5692468748,12.545711769,10.2,73.174612982
23,47047,Fayette,12.0,17.0,41.0,20.870135376,11.021573604,2860:1,5370.0,51.0,3.7295540519,9.4914576881,10.0,77.98945898
24,47049,Fentress,74.0,39.0,92.0,24.505345008,12.311539836,2267:1,10493.0,48.0,4.1748115052,6.6166740185,9.1,73.661825781
25,47051,Franklin,21.0,36.0,16.0,19.887377314,10.623071785,1488:1,5396.0,52.0,3.3687587728,10.803802939,10.2,75.940154321
26,47053,Gibson,46.0,80.0,34.0,20.289110704,10.883617979,2339:1,6382.0,51.0,4.4551222243,16.696870355,10.4,73.68965179
27,47055,Giles,38.0,54.0,54.0,20.488331798,12.179431453,2673:1,6499.0,51.0,3.6659207582,10.203734567,10.6,74.967351223
28,47057,Grainger,53.0,37.0,58.0,21.870691853,12.416089068,4629:1,4485.0,41.0,3.9503026442,6.9132388524,10.3,74.445151964
29,47059,Greene,63.0,44.0,18.0,22.007827008,11.165786374,1764:1,5375.0,48.0,4.6129605418,10.609231485,10.0,74.289194665
30,47061,Grundy,92.0,78.0,83.0,24.962719151,13.706563707,,5466.0,38.0,4.4207941056,8.2329166979,9.6,71.572885644
31,47063,Hamblen,39.0,61.0,45.0,22.796043037,13.851299103,1607:1,5664.0,45.0,3.8291820138,13.379591456,10.3,75.212320505
