,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,48001,Anderson,194.0,230.0,84.0,19.727722639,19.602529359,2887:1,5229.0,43.0,3.0898518739,10.044855475,9.9,73.351754925
1,48003,Andrews,27.0,112.0,195.0,19.851002217,22.053520592,1969:1,5664.0,24.0,2.398209337,7.3355151789,7.3,77.459563506
2,48005,Angelina,182.0,207.0,40.0,20.900429989,21.657537309,1689:1,4638.0,48.0,4.3881693408,11.27498434,9.8,76.13032605
3,48007,Aransas,176.0,130.0,53.0,20.550540941,22.302433689,2841:1,3318.0,42.0,5.7106845065,5.0836852808,9.3,77.876649908
4,48009,Archer,58.0,64.0,56.0,13.891397662,18.978205491,,4758.0,46.0,3.0831739962,9.0816210694,8.5,78.794054623
5,48011,Armstrong,53.0,30.0,180.0,12.287989974,17.614424411,1879:0,5488.0,26.0,2.807775378,26.609898882,6.8,77.355340106
6,48013,Atascosa,102.0,137.0,136.0,23.67838846,19.01973021,6123:1,5400.0,36.0,3.7652374453,6.9414670995,9.6,78.256183319
7,48015,Austin,44.0,55.0,78.0,17.116888869,20.244660999,4964:1,4223.0,40.0,3.6318230467,12.421943195,10.2,78.919241711
8,48017,Bailey,180.0,170.0,178.0,26.991707829,27.337038909,2359:1,5380.0,41.0,4.3691148776,7.0651405963,6.8,77.738257968
9,48019,Bandera,85.0,39.0,35.0,16.935833605,18.650132642,3725:1,2489.0,39.0,3.4072580645,9.3955527717,8.9,79.552845669
10,48021,Bastrop,71.0,202.0,95.0,20.343852258,21.75716118,3685:1,4397.0,41.0,3.3621749295,7.4326636071,10.1,77.619203968
11,48023,Baylor,225.0,47.0,160.0,17.134811954,18.916913947,716:1,7478.0,18.0,3.2567049808,13.962580285,7.8,73.726985036
12,48025,Bee,163.0,184.0,188.0,23.853585888,18.911941868,4652:1,7025.0,29.0,5.0816878821,4.2993581672,9.4,76.458372508
13,48027,Bell,90.0,196.0,18.0,20.289556752,13.260658306,1225:1,6936.0,39.0,4.1189287974,7.5610997231,10.1,78.432746919
14,48029,Bexar,94.0,97.0,17.0,22.492039858,16.904979007,1351:1,4099.0,38.0,3.3286215326,5.7490689674,10.4,78.893690438
