,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,49001,Beaver,17.0,13.0,24.0,13.729959845,12.497685614,1277:1,5648.0,25.0,3.5169210352,0.0,4.7,76.69076433
1,49003,Box Elder,11.0,12.0,10.0,13.292846008,8.7801220949,3380:1,2644.0,44.0,3.0391193238,2.5888052664,7.3,78.662392285
2,49005,Cache,6.0,5.0,8.0,12.329312929,10.115817309,2183:1,1951.0,50.0,2.6856564762,3.214452177,7.2,81.401185338
3,49007,Carbon,27.0,25.0,11.0,16.054026363,10.312250782,1845:1,2856.0,46.0,4.5417010735,6.4055186006,5.7,75.581990633
4,49009,Daggett,NR,NR,NR,9.7085352533,8.7516087516,1029:0,2356.0,54.0,4.3902439024,0.0,4.4,
5,49011,Davis,5.0,7.0,3.0,11.089903829,6.9584091417,2107:1,2052.0,49.0,2.9339007691,2.2149541044,8.4,80.559910379
6,49013,Duchesne,23.0,23.0,25.0,13.79511336,15.5422519,2225:1,3280.0,40.0,4.5960642154,1.9974033756,6.2,77.031667208
7,49015,Emery,21.0,20.0,21.0,13.037483004,9.0767198943,10077:1,3286.0,33.0,4.7904191617,0.0,5.5,76.143703669
8,49017,Garfield,26.0,11.0,27.0,14.057870831,16.295302013,1693:1,5076.0,29.0,7.7805665113,0.0,4.5,75.945011883
9,49019,Grand,24.0,14.0,6.0,13.684022303,13.194533146,744:1,1706.0,42.0,4.7501643655,4.134794294,5.4,77.579456313
10,49021,Iron,22.0,17.0,20.0,14.933329239,13.706122637,2684:1,3269.0,42.0,3.5678281832,3.7254171487,4.8,78.700172888
11,49023,Juab,16.0,15.0,22.0,13.495552292,10.640474729,1607:1,8897.0,48.0,2.9781126659,0.0,5.7,78.080364809
12,49025,Kane,7.0,8.0,16.0,12.391753582,9.6205718396,1892:1,2771.0,38.0,3.2122169563,0.0,4.4,79.570986958
13,49027,Millard,9.0,10.0,19.0,12.999923939,14.91759803,1838:1,2698.0,42.0,3.2697547684,0.0,5.6,80.5363358
14,49029,Morgan,1.0,2.0,2.0,9.8084212461,7.1737495299,913:1,836.0,44.0,2.7910392949,0.0,7.1,80.380587119
15,49031,Piute,15.0,21.0,23.0,13.423425192,12.37006237,1420:0,4286.0,37.0,5.3941908714,0.0,4.4,
16,49033,Rich,8.0,26.0,7.0,14.004103288,11.77377892,,884.0,39.0,3.3163265306,0.0,5.5,85.213537022
17,49035,Salt Lake,12.0,18.0,5.0,13.639543458,10.959295382,1307:1,2288.0,49.0,3.0255641326,4.4467965014,8.4,79.508887952
18,49037,San Juan,28.0,28.0,28.0,21.281537236,16.975525843,1396:1,3899.0,22.0,6.2380538662,1.9536337588,5.3,76.850920975
19,49039,Sanpete,13.0,19.0,14.0,15.184595054,12.680814205,1767:1,2665.0,42.0,3.7271561398,0.0,5.4,79.823077318
20,49041,Sevier,18.0,16.0,13.0,14.612321278,12.665298678,2132:1,2662.0,46.0,3.5833586395,1.4073935072,5.0,77.770267526
21,49043,Summit,2.0,3.0,1.0,10.779368063,9.636745722,791:1,1940.0,55.0,3.0386513158,7.7847516178,6.8,83.995446088
22,49045,Tooele,14.0,24.0,17.0,14.037654264,8.3632136483,5189:1,3764.0,45.0,3.4527167914,2.2236717268,6.8,78.558319569
23,49047,Uintah,25.0,27.0,26.0,14.471030154,15.674947044,2704:1,3890.0,44.0,4.7149687385,3.413940256,6.5,76.938894812
24,49049,Utah,3.0,1.0,4.0,12.626729694,8.1047755706,2360:1,2121.0,46.0,2.8269105073,1.764439131,7.7,80.569192257
25,49051,Wasatch,4.0,4.0,12.0,11.357054194,11.947523502,1889:1,2575.0,48.0,3.1440296532,1.5573413069,6.2,81.467094751
26,49053,Washington,10.0,6.0,15.0,13.229706224,13.944515605,1726:1,2692.0,46.0,3.4046179442,2.8974659246,5.0,81.766993478
27,49055,Wayne,20.0,9.0,18.0,12.480139152,15.239887112,2719:1,536.0,12.0,5.9930313589,0.0,4.7,79.411563353
28,49057,Weber,19.0,22.0,9.0,15.712879282,10.088819797,2289:1,1932.0,44.0,3.51146141,3.4158295898,8.0,78.270563744
