,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,50001,Addison,1.0,2.0,3.0,9.683870326,6.2158494994,876:1,2760.0,55.0,2.5695313252,9.5170763541,6.9,81.606988547
1,50003,Bennington,13.0,10.0,7.0,12.626462058,5.9519796232,937:1,4522.0,51.0,3.1461656107,14.328257572,7.7,77.572738804
2,50005,Caledonia,9.0,11.0,11.0,13.813026786,5.8259555172,1160:1,3469.0,36.0,3.2566012187,12.929319719,5.9,78.751246986
3,50007,Chittenden,3.0,1.0,1.0,9.925446379,5.10313544,554:1,2199.0,59.0,2.0513668886,12.009459759,6.5,81.633050558
4,50009,Essex,14.0,12.0,14.0,15.662723883,6.5934065934,6230:1,3320.0,41.0,3.6323202372,6.4205457464,5.8,77.308927568
5,50011,Franklin,8.0,14.0,8.0,13.178205969,4.6649930537,1816:1,4511.0,48.0,2.5244476639,9.1789903111,6.4,78.54433401
6,50013,Grand Isle,2.0,6.0,4.0,11.94318159,5.8294350486,1750:1,2194.0,46.0,3.1820424272,8.5738782509,6.5,80.404360039
7,50015,Lamoille,4.0,8.0,9.0,11.314517739,6.7037199551,1056:1,3048.0,55.0,3.5178736408,8.682953783,5.4,80.523771963
8,50017,Orange,6.0,4.0,12.0,11.458650331,5.7561625583,1317:1,4544.0,43.0,2.6658322904,11.044384621,6.6,79.416310558
9,50019,Orleans,12.0,13.0,13.0,13.387849838,6.4003141258,1278:1,4333.0,30.0,4.4372612401,9.6866733728,6.0,77.931770813
10,50021,Rutland,10.0,9.0,6.0,13.926804717,5.5478190557,1374:1,3945.0,49.0,3.1308201143,13.031631323,8.6,77.594052829
11,50023,Washington,7.0,5.0,2.0,11.947695118,4.8593350384,940:1,3382.0,51.0,2.5973273038,20.586721565,6.1,79.829977681
12,50025,Windham,11.0,7.0,5.0,12.328341575,5.6457086444,953:1,3379.0,37.0,2.8529788456,14.229396534,8.2,78.457332262
13,50027,Windsor,5.0,3.0,10.0,11.51854502,6.0281837161,984:1,3690.0,39.0,2.3373774762,14.337568058,7.9,79.876317258
