,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,51001,Accomack,99.0,109.0,117.0,20.08919894,16.649112857,2034:1,4264.0,44.0,3.8121942489,10.754340144,8.7,76.215010426
1,51003,Albemarle,6.0,8.0,7.0,12.788913677,9.9552599758,669:1,3717.0,59.0,2.6742750836,10.213366511,8.5,83.0042709
2,51005,Alleghany,71.0,69.0,103.0,16.121545716,9.8584117492,2160:1,7221.0,45.0,3.7564766839,16.532204735,8.7,76.253126934
3,51007,Amelia,82.0,95.0,108.0,15.539960662,13.600381497,13020:1,4610.0,48.0,3.2211538462,9.9846390169,8.9,75.781118101
4,51009,Amherst,52.0,71.0,113.0,16.059073072,12.347516851,4513:1,5247.0,51.0,3.2568072611,13.610179148,9.1,78.358014212
5,51011,Appomattox,77.0,115.0,94.0,16.56063666,11.807791372,7841:1,4541.0,52.0,3.6425243541,16.580575218,9.0,76.495961354
6,51013,Arlington,2.0,3.0,10.0,11.294389204,7.656820841,1250:1,2717.0,51.0,1.9957817031,14.044644947,9.7,85.210292224
7,51015,Augusta,23.0,50.0,39.0,14.207762165,11.1581822,2031:1,4305.0,54.0,2.6894534424,13.573938039,8.9,80.747348293
8,51017,Bath,57.0,31.0,129.0,16.545329012,10.828230744,4297:1,7214.0,30.0,2.5179856115,13.963230161,8.0,75.956625093
9,51019,Bedford,35.0,38.0,53.0,14.036663564,9.9546338302,1418:1,,,3.0527338111,12.440044117,9.2,78.381367858
10,51021,Bland,24.0,22.0,44.0,12.889086074,8.884732289,,4259.0,41.0,3.1757233592,7.874015748,8.6,77.188129609
11,51023,Botetourt,14.0,7.0,22.0,12.390681577,8.367029549,1952:1,3423.0,51.0,2.6942283126,18.679199807,9.0,79.703252166
12,51025,Brunswick,122.0,129.0,110.0,22.881800302,12.573977966,2707:1,6000.0,47.0,4.8747913189,7.387343019,9.3,74.870589585
13,51027,Buchanan,123.0,100.0,133.0,21.157313518,12.45984252,3586:1,10329.0,29.0,5.4660529344,7.9018313656,9.5,73.301620503
14,51029,Buckingham,84.0,120.0,111.0,19.103107004,13.395452214,4266:1,4426.0,40.0,4.4045933616,12.305889247,8.8,78.764751937
15,51031,Campbell,46.0,96.0,92.0,15.855956896,11.44779614,6112:1,4641.0,53.0,3.3453679521,14.179240138,9.5,78.551515903
16,51033,Caroline,69.0,88.0,125.0,16.177107995,11.377412665,6092:1,5781.0,37.0,3.4512510785,11.490102098,8.9,77.259147862
17,51035,Carroll,48.0,72.0,65.0,15.231228963,12.559399565,1024:1,4375.0,49.0,3.5829398096,11.444728693,9.0,78.560261769
18,51036,Charles City,116.0,79.0,104.0,18.351932862,16.414283044,3502:1,3895.0,50.0,3.9274106176,17.133066819,8.7,75.60157542
19,51037,Charlotte,113.0,116.0,118.0,19.290658102,14.759036145,1731:1,4673.0,43.0,3.6555023923,14.85271062,9.3,75.315858474
20,51041,Chesterfield,25.0,41.0,17.0,12.98513405,8.9753356659,1142:1,3931.0,52.0,2.9164904519,8.5273822101,9.3,79.402494583
21,51043,Clarke,28.0,11.0,106.0,13.845989976,11.333391319,2073:1,6287.0,52.0,2.8628230616,16.542597188,9.0,78.165899901
22,51045,Craig,59.0,56.0,74.0,13.404342393,10.496671787,5062:1,5248.0,45.0,3.5433070866,0.0,8.4,79.939263043
23,51047,Culpeper,42.0,51.0,95.0,14.784069302,13.283327003,2564:1,4630.0,50.0,2.8455620812,9.165009165,8.8,77.658668827
24,51049,Cumberland,83.0,111.0,116.0,19.228031099,12.335612835,3270:1,5643.0,43.0,3.2571182053,6.115584548,8.7,79.254768382
25,51051,Dickenson,119.0,104.0,121.0,21.287965281,11.547447879,3696:1,5623.0,39.0,5.2057842047,2.7059937762,9.4,74.242535732
26,51053,Dinwiddie,73.0,89.0,115.0,17.046353424,11.809775429,7052:1,6840.0,49.0,3.5115070527,7.799205899,9.3,77.402282767
27,51057,Essex,112.0,93.0,42.0,17.617816244,12.605733083,5514:1,3243.0,53.0,3.8594574914,12.694958288,8.5,76.531257186
28,51059,Fairfax,1.0,1.0,15.0,9.9858457012,9.0231821443,941:1,3008.0,51.0,2.4308624325,8.6901020782,8.3,85.331161334
