,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,53001,Adams,26.0,27.0,24.0,23.416773969,12.672961577,2167:1,1313.0,36.0,5.3908640152,12.30390649,9.3,80.070174224
1,53003,Asotin,24.0,23.0,5.0,15.313680443,6.5110065633,1186:1,2857.0,47.0,4.3533930858,8.4313290437,8.6,79.496561332
2,53005,Benton,17.0,13.0,23.0,16.096464884,7.6259052892,1468:1,4336.0,50.0,5.2077025554,8.8307572753,9.2,80.256680719
3,53007,Chelan,13.0,8.0,12.0,17.163928551,9.2914514736,850:1,2102.0,33.0,4.5261079421,14.634210079,6.9,81.090916125
4,53009,Clallam,25.0,14.0,8.0,16.223041389,8.9611038512,1020:1,1915.0,50.0,6.3860149839,9.6722049977,5.8,79.432548835
5,53011,Clark,8.0,15.0,18.0,13.733517574,6.9983762353,1417:1,3715.0,44.0,4.8286759886,7.1632785062,8.3,80.305189295
6,53013,Columbia,38.0,29.0,17.0,17.601915364,6.3541666667,1349:1,1538.0,20.0,5.5897149245,14.825796887,7.1,77.729332876
7,53015,Cowlitz,33.0,39.0,14.0,18.568090973,6.6139451213,1527:1,3483.0,45.0,5.9425560177,9.5407351978,6.9,76.918655778
8,53017,Douglas,6.0,18.0,34.0,18.061982065,11.314519667,5243:1,3011.0,38.0,5.3279637087,5.9601859578,7.5,82.835838809
9,53019,Ferry,39.0,35.0,32.0,19.095582206,10.597232338,1519:1,2123.0,17.0,11.736334405,7.9009744535,6.5,77.375073571
10,53021,Franklin,15.0,25.0,38.0,20.8635398,11.644394253,4188:1,3843.0,46.0,6.0608251398,4.8846675712,9.4,81.381631069
11,53023,Garfield,28.0,21.0,1.0,17.011927924,4.4044665012,1105:1,1448.0,28.0,5.7713651498,18.099547511,7.5,80.710449228
12,53025,Grant,27.0,33.0,36.0,20.708867493,12.531071611,2379:1,2648.0,29.0,6.2389514078,9.4579541394,9.2,79.026790998
13,53027,Grays Harbor,37.0,32.0,33.0,17.606658407,8.9202566453,2908:1,3888.0,42.0,6.7309402682,11.55480969,6.1,76.787198669
14,53029,Island,3.0,4.0,20.0,13.111056948,5.9623940506,2683:1,2596.0,42.0,5.2269839436,8.6581127719,7.4,81.74638388
15,53031,Jefferson,14.0,3.0,4.0,12.253028065,8.3405645449,1201:1,683.0,39.0,5.824284304,9.6049177179,6.1,81.014526694
16,53033,King,2.0,1.0,2.0,10.941285789,6.2430302119,829:1,2845.0,52.0,3.4533605257,8.7771040491,7.5,82.375965502
17,53035,Kitsap,11.0,7.0,6.0,13.824952372,5.2741864412,1549:1,2434.0,48.0,4.6490621313,8.3704309834,7.0,80.222275212
18,53037,Kittitas,10.0,19.0,22.0,15.218755503,8.1906282694,1711:1,1614.0,36.0,5.2792688878,9.0899253328,6.7,81.465059902
19,53039,Klickitat,31.0,16.0,31.0,17.481533341,9.9715616869,1454:1,3152.0,26.0,5.6867804684,8.2527165192,6.4,80.706076531
20,53041,Lewis,30.0,34.0,29.0,17.398812654,8.8065099458,2234:1,3203.0,35.0,6.2870348424,9.9744245524,6.8,77.654794802
21,53043,Lincoln,16.0,11.0,37.0,14.832455778,6.829206025,2645:1,4780.0,22.0,4.8530282107,14.179033935,8.8,80.720036913
22,53045,Mason,20.0,37.0,28.0,15.806104191,9.0907137177,3748:1,2944.0,42.0,6.3071599242,6.278449223,5.9,78.936255837
23,53047,Okanogan,32.0,36.0,39.0,18.305381402,14.912088942,1347:1,2936.0,21.0,6.3965782391,13.655311197,7.1,78.7030232
24,53049,Pacific,36.0,30.0,27.0,18.210721383,9.5709570957,4325:1,2470.0,40.0,6.8784957753,12.484971793,6.2,76.956181746
25,53051,Pend Oreille,35.0,38.0,25.0,16.812173199,8.0248801876,1908:1,2558.0,29.0,7.1695760599,6.7395536918,9.0,77.238157465
26,53053,Pierce,22.0,26.0,16.0,15.840618578,6.8882679089,1379:1,3241.0,47.0,5.1745072936,6.9802136037,7.1,78.848838831
27,53055,San Juan,1.0,2.0,10.0,13.105263436,9.0753732686,1286:1,1113.0,38.0,3.9338235294,12.56356566,7.3,85.494186503
28,53057,Skagit,12.0,10.0,19.0,14.486976039,8.6443432702,1185:1,3167.0,48.0,5.1859716646,10.348752975,7.5,79.907989562
29,53059,Skamania,21.0,20.0,30.0,16.287515463,7.183908046,,3498.0,30.0,5.6044985942,3.3792346034,6.2,83.31895204
30,53061,Snohomish,7.0,6.0,15.0,14.403971122,6.2076401725,1904:1,2918.0,49.0,3.7589146747,7.0855366483,8.1,80.374691011
31,53063,Spokane,19.0,17.0,3.0,13.011773362,6.0024980151,1112:1,2820.0,46.0,5.225849805,9.5228310863,11.7,78.498307053
32,53065,Stevens,29.0,22.0,26.0,17.331614429,7.8533571491,1443:1,2958.0,29.0,7.1222591001,8.0482897384,9.0,79.498063956
33,53067,Thurston,9.0,9.0,9.0,13.463376434,6.0670986396,1002:1,2833.0,48.0,4.758999833,9.551370693,7.2,80.329401654
34,53069,Wahkiakum,23.0,24.0,21.0,13.68391793,8.8585434174,,2593.0,38.0,6.529992407,9.3808630394,5.9,81.864954671
