,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,54001,Barbour,29.0,41.0,32.0,23.721308626,8.2136190244,2357:1,4569.0,37.0,6.0005868545,6.0617081894,8.8,76.217178727
1,54003,Berkeley,7.0,32.0,11.0,20.184509742,7.1033816822,2253:1,5353.0,46.0,4.0865384615,8.0055690915,9.7,75.402861973
2,54005,Boone,52.0,51.0,51.0,27.35259772,7.188373393,2794:1,10315.0,37.0,6.1460010735,6.7117096962,9.9,71.835734402
3,54007,Braxton,35.0,22.0,31.0,22.693274491,8.051124172,2373:1,3895.0,30.0,7.0403146509,7.7263468427,9.1,75.416882518
4,54009,Brooke,8.0,10.0,18.0,19.892111929,5.9257022048,4489:1,6536.0,48.0,6.1392791692,14.258343359,11.3,76.531653683
5,54011,Cabell,51.0,35.0,8.0,23.296008533,8.7354342151,629:1,4904.0,45.0,4.7351466563,14.111501927,10.4,71.351553632
6,54013,Calhoun,36.0,15.0,44.0,25.938651862,8.4042745879,2436:1,5619.0,27.0,10.426148118,4.1056521144,9.7,76.72269026
7,54015,Clay,39.0,49.0,41.0,25.30153605,8.3152880035,8764:1,5611.0,35.0,8.4484420173,4.5641259699,9.3,73.576692426
8,54017,Doddridge,4.0,5.0,33.0,19.199608278,8.0273270709,4280:1,5165.0,37.0,3.9818548387,7.0093457944,9.9,79.126211493
9,54019,Fayette,42.0,47.0,42.0,24.298844724,8.0515005894,2291:1,7966.0,35.0,6.4301552106,10.799384205,9.4,72.885650002
10,54021,Gilmer,21.0,52.0,45.0,27.207057621,8.3489096573,2668:1,6422.0,41.0,6.3051702396,7.4953154279,9.5,77.355054364
11,54023,Grant,23.0,20.0,30.0,23.437581482,8.0958842153,1945:1,6361.0,37.0,5.6733919641,12.853470437,8.1,78.968158565
12,54025,Greenbrier,15.0,21.0,9.0,21.700663159,8.4741337511,784:1,4914.0,48.0,5.1245916341,12.752571769,8.7,75.872643141
13,54027,Hampshire,32.0,36.0,46.0,21.991300208,9.5084340032,3912:1,4926.0,35.0,4.2439813493,8.5211537642,8.6,76.178617018
14,54029,Hancock,28.0,29.0,13.0,21.143429766,7.1902023616,1841:1,6148.0,45.0,5.9006694691,14.941591959,10.9,74.917900032
15,54031,Hardy,19.0,31.0,49.0,22.028256176,9.8374439462,6859:1,5622.0,31.0,5.5420006971,9.4772909528,8.2,76.853243152
16,54033,Harrison,30.0,25.0,5.0,20.61796501,7.5993186439,869:1,4900.0,41.0,4.5177545998,17.548775272,9.6,75.252213501
17,54035,Jackson,25.0,16.0,20.0,22.854920365,7.1744216272,3220:1,5120.0,44.0,3.9636008306,9.6631695196,10.3,75.935325448
18,54037,Jefferson,2.0,6.0,10.0,18.482472575,6.4739291967,1707:1,4492.0,40.0,3.3233036952,8.8750044375,9.6,77.570949746
19,54039,Kanawha,38.0,18.0,4.0,21.815695051,7.031087436,761:1,5496.0,47.0,5.1821596587,17.949403414,10.4,73.433080769
20,54041,Lewis,44.0,37.0,15.0,23.378061644,7.3406766326,1352:1,5739.0,39.0,5.6859756098,9.2444225317,9.4,72.273208843
21,54043,Lincoln,50.0,44.0,40.0,25.491237212,8.0066722269,2314:1,7957.0,43.0,6.9460067492,3.8415366146,10.1,71.875762386
22,54045,Logan,53.0,53.0,53.0,25.504138946,7.8077728648,2058:1,14383.0,33.0,7.0218373494,6.6818526955,9.8,70.084342636
23,54047,McDowell,55.0,55.0,54.0,32.176727494,9.8348139922,3691:1,8430.0,26.0,9.4407158837,5.4182921543,9.3,68.587128082
24,54049,Marion,11.0,30.0,16.0,20.074223444,6.5624578898,1878:1,7963.0,40.0,5.7173507092,16.685304507,10.0,76.108883024
25,54051,Marshall,12.0,27.0,35.0,22.708825315,7.4857404555,2399:1,9042.0,46.0,5.7877361804,13.465854441,10.9,77.335285932
26,54053,Mason,43.0,46.0,24.0,25.412769691,7.0543835882,1914:1,7049.0,49.0,7.0484133442,12.312973397,10.5,73.927651648
27,54055,Mercer,48.0,50.0,22.0,25.282589787,7.7087514179,1494:1,4728.0,33.0,6.3073394495,13.221093502,8.9,72.749339354
28,54057,Mineral,6.0,9.0,7.0,20.320968863,7.012987013,3025:1,5009.0,43.0,5.5129668896,12.489897877,8.7,76.36089192
29,54059,Mingo,54.0,54.0,55.0,28.430478042,8.6983248809,4825:1,16802.0,34.0,7.5570411277,8.2894682306,9.8,71.036469394
30,54061,Monongalia,1.0,4.0,2.0,19.245414865,7.1675162187,756:1,5760.0,47.0,4.0859206453,10.092354565,9.7,79.015369023
31,54063,Monroe,10.0,11.0,43.0,22.754025311,9.0591290451,2680:1,4669.0,29.0,4.7948762333,8.9538874795,8.7,77.111596731
32,54065,Morgan,33.0,3.0,36.0,20.890827726,8.8458422332,1769:1,4805.0,41.0,4.2930882538,13.004636436,9.2,74.559817462
33,54067,Nicholas,37.0,19.0,28.0,26.114491997,7.8786320391,1043:1,6765.0,38.0,6.4453754431,11.580082259,9.1,75.001619757
34,54069,Ohio,18.0,24.0,1.0,20.190441642,6.3780156575,627:1,6435.0,49.0,4.6036285219,19.74545022,10.9,75.822988837
35,54071,Pendleton,26.0,8.0,37.0,23.250335547,9.1625615764,2332:1,6007.0,35.0,3.7703513282,10.005717553,7.9,77.361809466
36,54073,Pleasants,5.0,7.0,23.0,22.10674402,6.0948905109,7512:1,8281.0,47.0,6.4,13.312034079,10.3,76.222119501
37,54075,Pocahontas,24.0,12.0,34.0,23.373709888,8.548968228,2114:1,3248.0,31.0,6.2367303609,15.373699149,8.1,77.071221457
38,54077,Preston,16.0,13.0,29.0,20.016177864,8.3339972911,2591:1,5662.0,45.0,5.2278208722,8.9076278987,9.1,76.757465667
39,54079,Putnam,3.0,1.0,3.0,18.993733661,5.6757624398,947:1,5178.0,49.0,4.9352936672,10.740949429,10.3,76.665252979
40,54081,Raleigh,47.0,48.0,14.0,24.77710913,7.3762507748,1137:1,7363.0,40.0,5.2842355337,11.463304097,9.2,73.079703407
41,54083,Randolph,17.0,17.0,19.0,22.331889159,7.9982517483,1151:1,4103.0,36.0,5.5309919079,10.769498002,8.3,76.828805591
42,54085,Ritchie,9.0,42.0,50.0,21.911155533,8.9502908514,4887:1,6946.0,39.0,5.3166897827,10.231225701,10.1,76.740706663
43,54087,Roane,45.0,40.0,39.0,25.211272041,8.6301369863,1755:1,3994.0,26.0,7.9000812348,5.6967884355,9.8,72.248828249
44,54089,Summers,40.0,34.0,38.0,24.72723527,7.7961870177,2599:1,5065.0,26.0,6.1457837065,8.4660971292,8.7,74.615105001
45,54091,Taylor,22.0,26.0,21.0,20.486986555,7.3048623227,2822:1,3760.0,36.0,4.8370541442,11.22268163,9.4,76.822522961
46,54093,Tucker,20.0,2.0,27.0,20.545770567,7.7258320127,2305:1,4072.0,26.0,5.4703937481,4.3383947939,8.2,77.274175282
47,54095,Tyler,27.0,14.0,25.0,20.068973855,7.4269778365,1759:1,6709.0,37.0,7.3567708333,17.055144969,10.4,76.147632423
48,54097,Upshur,14.0,23.0,12.0,23.951154487,8.0124189771,2447:1,3211.0,41.0,5.7292222341,11.036174126,8.9,76.661482168
49,54099,Wayne,46.0,33.0,26.0,25.6574773,7.8029656328,1825:1,6651.0,45.0,6.0052892988,6.226184843,10.5,74.073910167
50,54101,Webster,41.0,43.0,47.0,25.635391963,8.3008269621,2791:1,7135.0,26.0,6.3307086614,7.1667462972,8.4,74.221651586
51,54103,Wetzel,34.0,45.0,17.0,23.634422936,7.762980445,1930:1,4851.0,40.0,7.223579719,15.547062253,10.5,74.895091477
52,54105,Wirt,13.0,28.0,48.0,23.641251984,8.2596506362,5794:1,8375.0,39.0,7.0474435744,8.629616845,9.9,77.432713803
53,54107,Wood,31.0,39.0,6.0,21.602369238,7.0861123462,1216:1,6774.0,49.0,5.4930988424,18.095506674,10.6,74.956778544
54,54109,Wyoming,49.0,38.0,52.0,25.973086519,7.7390527256,3535:1,9494.0,29.0,7.0617720773,6.129184347,9.3,72.080853525
