,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,55001,Adams,68.0,42.0,65.0,14.188976272,7.8638678808,9987:1,3481.0,33.0,4.7143379218,6.0081109498,8.8,78.222524689
1,55003,Ashland,66.0,65.0,7.0,16.491618152,7.9221971784,620:1,2808.0,54.0,4.2730720607,11.612903226,6.3,76.659109528
2,55005,Barron,40.0,52.0,38.0,14.02935223,7.9822363926,905:1,3841.0,47.0,3.3841487748,17.237188128,7.2,79.017820671
3,55007,Bayfield,39.0,24.0,35.0,13.888929011,9.1504473757,3002:1,1953.0,50.0,4.9001576458,13.992537313,6.2,80.075113914
4,55009,Brown,21.0,40.0,15.0,12.291755527,7.2310333178,1401:1,2724.0,54.0,2.7318981298,8.7768839772,9.1,79.887059552
5,55011,Buffalo,25.0,8.0,43.0,12.616834992,6.975604977,6584:1,3931.0,51.0,3.4425736621,8.3542188805,8.2,80.793300574
6,55013,Burnett,56.0,53.0,71.0,14.000552928,8.419987117,7676:1,4924.0,34.0,4.6235679214,18.238665972,6.7,78.875196828
7,55015,Calumet,6.0,5.0,16.0,10.860281785,4.3695206118,8345:1,2148.0,49.0,2.5609799778,7.190364911,9.7,80.861148257
8,55017,Chippewa,26.0,17.0,25.0,13.363668425,5.681456743,1182:1,4708.0,53.0,3.2846932698,11.28296742,7.9,79.857034839
9,55019,Clark,46.0,68.0,72.0,14.086168501,16.460774997,3468:1,4807.0,35.0,2.8840332434,14.129588512,7.9,78.626500643
10,55021,Columbia,17.0,45.0,51.0,12.375962098,5.6439598402,2202:1,4644.0,53.0,2.6913161039,13.275572946,9.7,79.167854462
11,55023,Crawford,51.0,50.0,57.0,12.912950801,6.4781099162,1474:1,5616.0,46.0,3.6957073914,9.2512643395,9.0,79.887928546
12,55025,Dane,12.0,3.0,5.0,11.990547123,5.0612981137,783:1,3607.0,65.0,2.2265267991,12.546232775,9.4,81.717431012
13,55027,Dodge,36.0,32.0,19.0,11.9402166,5.5469770757,2195:1,2824.0,53.0,2.6230120057,12.074818308,9.7,78.538822603
14,55029,Door,11.0,4.0,21.0,11.839464356,6.9841760734,1249:1,2385.0,40.0,3.6066843022,19.648509988,8.3,81.151998536
15,55031,Douglas,27.0,54.0,69.0,12.941404851,6.5935028166,4809:1,6634.0,49.0,3.9802702123,12.244709361,6.9,79.165862433
16,55033,Dunn,23.0,66.0,17.0,14.070600777,5.9741750359,1655:1,2826.0,55.0,3.0512495399,10.739936903,7.8,80.418246028
17,55035,Eau Claire,30.0,47.0,14.0,13.054937601,6.4997182896,810:1,5057.0,58.0,2.6062753036,12.443209769,8.0,79.534466852
