,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,56001,Albany,13.0,9.0,5.0,15.812110858,12.539732004,1420:1,3259.0,46.0,3.2895060816,10.174266931,3.7,80.804432398
1,56003,Big Horn,15.0,12.0,23.0,14.722362362,19.792557742,5953:1,5038.0,30.0,4.6794749857,9.2390391399,5.4,77.04390375
2,56005,Campbell,7.0,22.0,12.0,12.618905049,12.841595551,2011:1,2915.0,46.0,4.1102493318,8.8663985122,5.8,79.348984515
3,56007,Carbon,22.0,19.0,20.0,15.655325805,16.266158436,1913:1,3491.0,35.0,3.7888517853,9.8019996079,3.0,77.238528819
4,56009,Converse,17.0,10.0,17.0,14.342613117,12.734665629,1973:1,4353.0,36.0,3.6801694467,9.4141501919,3.4,78.039398258
5,56011,Crook,2.0,7.0,9.0,12.604823635,14.715775311,2470:1,1291.0,38.0,3.2196969697,12.145748988,4.9,81.003407648
6,56013,Fremont,23.0,23.0,19.0,14.353774607,20.112342019,1206:1,3028.0,40.0,5.2213093029,12.561867196,5.4,75.217716107
7,56015,Goshen,10.0,17.0,13.0,14.708380761,16.526729727,1216:1,3163.0,40.0,3.3089311859,16.444909553,4.5,80.318798637
8,56017,Hot Springs,20.0,8.0,7.0,14.233778266,13.554913295,1565:1,1678.0,39.0,3.7137681159,12.776831346,4.2,75.988107965
9,56019,Johnson,8.0,3.0,3.0,12.494350559,14.995357474,706:1,2873.0,44.0,3.9895511755,16.517225106,4.2,78.159488415
10,56021,Laramie,12.0,15.0,6.0,13.152948181,11.433545429,1425:1,4415.0,47.0,3.8735791284,13.017787586,4.6,78.954468242
11,56023,Lincoln,5.0,5.0,10.0,12.465497081,13.764044944,1482:1,2954.0,41.0,3.811273103,0.0,5.7,80.804229737
12,56025,Natrona,16.0,21.0,8.0,14.526518992,14.221374848,1372:1,3335.0,44.0,4.641695896,14.331150138,3.9,77.935439329
13,56027,Niobrara,18.0,14.0,22.0,15.558674243,19.233110164,1199:1,1177.0,13.0,2.8235294118,0.0,3.3,81.271522278
14,56029,Park,6.0,2.0,4.0,13.335458734,13.985795328,870:1,3425.0,45.0,4.3746386587,14.204545455,5.3,80.811196766
15,56031,Platte,14.0,4.0,21.0,15.383828742,14.88254769,2854:1,5078.0,41.0,3.8034188034,18.687222612,3.6,79.16228909
16,56033,Sheridan,9.0,13.0,2.0,12.545186764,13.386562473,1439:1,2628.0,40.0,4.0466876162,15.88877855,5.7,78.237398773
17,56035,Sublette,3.0,6.0,16.0,12.23739559,14.601548838,1960:1,2929.0,42.0,4.1979362101,6.123073783,5.1,82.851608153
18,56037,Sweetwater,19.0,20.0,14.0,14.813082253,14.464995133,2721:1,2854.0,41.0,4.2364066194,10.336748289,5.1,77.285777712
19,56039,Teton,1.0,1.0,1.0,11.91435829,16.034517359,862:1,2130.0,51.0,3.0247718383,16.333548248,4.9,89.489444829
20,56041,Uinta,21.0,18.0,15.0,15.537463775,13.66473726,2277:1,3442.0,34.0,4.3668122271,2.9275433032,5.9,79.245996758
21,56043,Washakie,11.0,11.0,18.0,15.955971129,16.730279898,2016:1,3979.0,42.0,4.2385411533,16.121031746,4.8,79.451504214
22,56045,Weston,4.0,16.0,11.0,13.934024744,13.370998117,2309:1,1359.0,21.0,3.5111230233,12.992637505,4.1,80.549081393
